k,querytime,nb_threads
1,48.349238,32
3,52.642775,32
5,52.645995,32
10,65.100016,32
30,79.925734,32
50,81.908852,32
100,101.135012,32
300,114.967774,32
500,114.967796,32
1000,129.073246,32
3000,170.080084,32
5000,176.964672,32
10000,181.791584,32
k,querytime,nb_threads
1,49.701506,32
3,57.246418,32
5,57.246423,32
10,57.254563,32
30,67.404177,32
50,77.393983,32
100,106.359014,32
300,125.625538,32
500,126.138848,32
1000,134.879392,32
3000,158.175428,32
5000,176.206168,32
10000,188.362752,32
k,querytime,nb_threads
1,46.738294,32
3,47.404509,32
5,48.798012,32
10,63.631716,32
30,67.374718,32
50,81.202708,32
100,85.220176,32
300,94.142379,32
500,115.439316,32
1000,121.528670,32
3000,152.913888,32
5000,165.269456,32
10000,168.792796,32
k,querytime,nb_threads
1,39.276151,32
3,43.956275,32
5,44.140060,32
10,51.954939,32
30,59.895333,32
50,65.036178,32
100,76.930057,32
300,101.643618,32
500,110.431940,32
1000,122.202780,32
3000,122.394830,32
5000,139.365348,32
10000,158.596473,32
k,querytime,nb_threads
1,31.294587,32
3,31.294587,32
5,31.294587,32
10,31.316566,32
30,31.316566,32
50,33.990534,32
100,39.282359,32
300,58.811857,32
500,65.935620,32
1000,65.935864,32
3000,85.590720,32
5000,91.691676,32
10000,98.893356,32
