k,querytime,nb_threads
1,65.197793,16
3,65.202028,16
5,65.202698,16
10,65.202698,16
30,66.554903,16
50,66.944230,16
100,66.944250,16
300,68.134175,16
500,68.134258,16
1000,68.134486,16
3000,68.135364,16
5000,68.136127,16
10000,68.137423,16
1,56.769395,16
3,59.093150,16
5,59.093151,16
10,60.481283,16
30,60.481293,16
50,60.516127,16
100,60.516674,16
300,62.807348,16
500,62.807404,16
1000,62.807512,16
3000,62.808043,16
5000,62.808547,16
10000,62.809616,16
1,62.039624,16
3,62.051354,16
5,62.329297,16
10,62.344636,16
30,62.951975,16
50,62.951977,16
100,62.951983,16
300,62.952010,16
500,62.952047,16
1000,62.952151,16
3000,62.952544,16
5000,62.952908,16
10000,62.953647,16
1,52.615503,16
3,57.069077,16
5,57.069077,16
10,57.069080,16
30,59.488454,16
50,65.486153,16
100,65.486175,16
300,65.486266,16
500,65.486401,16
1000,65.486649,16
3000,65.487641,16
5000,65.488502,16
10000,65.490606,16
1,45.516985,16
3,45.516985,16
5,45.516985,16
10,45.516985,16
30,45.519226,16
50,46.050771,16
100,46.050777,16
300,46.050805,16
500,46.050829,16
1000,46.051648,16
3000,47.385557,16
5000,47.385960,16
10000,47.386920,16
1,76.000821,32
3,80.872008,32
5,92.619362,32
10,92.619362,32
30,93.290736,32
50,93.290744,32
100,93.290756,32
300,93.290816,32
500,93.290884,32
1000,93.291058,32
3000,93.291696,32
5000,93.292304,32
10000,93.293370,32
1,69.062068,32
3,75.687022,32
5,75.687022,32
10,75.687022,32
30,76.187928,32
50,76.187934,32
100,76.187938,32
300,76.614170,32
500,76.614268,32
1000,76.614542,32
3000,76.615428,32
5000,76.616264,32
10000,76.618168,32
1,70.491547,32
3,75.634890,32
5,84.217162,32
10,84.217164,32
30,84.217170,32
50,84.217176,32
100,84.846004,32
300,84.846066,32
500,84.846142,32
1000,84.846306,32
3000,84.846882,32
5000,84.847500,32
10000,84.848352,32
1,74.595656,32
3,74.595656,32
5,74.596084,32
10,76.168756,32
30,79.110456,32
50,79.110958,32
100,79.110960,32
300,79.110978,32
500,79.111000,32
1000,79.111088,32
3000,79.111444,32
5000,79.111806,32
10000,79.112728,32
1,59.193038,32
3,59.193038,32
5,59.193039,32
10,59.193039,32
30,59.195292,32
50,59.196074,32
100,59.196079,32
300,59.196087,32
500,59.196093,32
1000,59.196301,32
3000,59.197229,32
5000,59.198692,32
10000,59.200101,32
1,84.682065,64
3,97.675492,64
5,97.675492,64
10,98.093820,64
30,98.093828,64
50,98.093832,64
100,98.093836,64
300,98.201516,64
500,98.201544,64
1000,98.201610,64
3000,98.201864,64
5000,98.202028,64
10000,98.202376,64
1,80.426206,64
3,89.674140,64
5,89.674140,64
10,89.674140,64
30,89.674144,64
50,89.674144,64
100,89.674156,64
300,89.674186,64
500,89.674216,64
1000,89.674308,64
3000,89.674586,64
5000,89.674866,64
10000,89.675872,64
1,93.341472,64
3,93.348688,64
5,96.075588,64
10,96.075588,64
30,96.204336,64
50,96.204336,64
100,98.102372,64
300,98.102396,64
500,98.102426,64
1000,98.102486,64
3000,98.102876,64
5000,98.103200,64
10000,98.103684,64
1,104.200900,64
3,104.201684,64
5,104.202036,64
10,104.202036,64
30,104.202036,64
50,104.202036,64
100,104.202040,64
300,104.202044,64
500,104.202060,64
1000,104.202100,64
3000,104.202280,64
5000,104.202444,64
10000,104.202902,64
1,59.384943,64
3,59.384943,64
5,59.384943,64
10,59.384943,64
30,59.384943,64
50,61.952598,64
100,61.952604,64
300,61.952648,64
500,61.952698,64
1000,61.952804,64
3000,66.017144,64
5000,66.017420,64
10000,66.017984,64
