tqq,tss,overlap
t1793c0,t77952c0,1
t1793c0,t31526c0,1
t1793c0,t77653c0,1
t1793c0,t90300c0,1
t1793c0,t63442c0,1
t1793c0,t39354c0,1
t1793c0,t101135c0,1
t1793c0,t98359c0,1
t1793c0,t94611c0,1
t1793c0,t35608c0,1
t1793c0,t62627c0,1
t1793c0,t12925c0,1
t1793c0,t70786c0,1
t1793c0,t35870c0,1
t1793c0,t12420c0,1
t1793c0,t86970c0,1
t1793c0,t14520c0,1
t1793c0,t55265c0,1
t1793c0,t48548c0,1
t1793c0,t67318c0,1
t1793c0,t30821c0,1
t1793c0,t24108c0,1
t1793c0,t40653c0,1
t1793c0,t48237c0,1
t1793c0,t81753c0,1
t1793c0,t9576c0,1
t1793c0,t99928c0,1
t1793c0,t82992c0,1
t1793c0,t17327c0,1
t1793c0,t55985c0,1
t1793c0,t73738c0,1
t1793c0,t4633c0,1
t1793c0,t26269c0,1
t1793c0,t82437c0,1
t1793c0,t19596c0,1
t1793c0,t39950c0,1
t1793c0,t97643c0,1
t1793c0,t36132c0,1
t1793c0,t83238c0,1
t1793c0,t67528c0,1
t1793c0,t42078c0,1
t1793c0,t15938c0,1
t1793c0,t26821c0,1
t1793c0,t45932c0,1
t1793c0,t59712c0,1
t1793c0,t81169c0,1
t1793c0,t813c0,1
t1793c0,t83844c0,1
t1793c0,t72582c0,1
t1793c0,t27278c0,1
t1793c0,t22316c0,1
t1793c0,t73228c0,1
t1793c0,t101405c0,1
t1793c0,t23022c0,1
t1793c0,t25561c0,1
t1793c0,t98604c0,1
t1793c0,t24799c0,1
t1793c0,t53627c0,1
t1793c0,t17480c2,1
t1793c0,t13325c2,1
t1793c0,t46723c1,1
t1793c0,t18170c1,1
t1793c0,t50207c1,1
t1793c0,t87221c1,1
t1793c0,t62662c1,1
t1793c0,t18908c3,1
t1793c0,t101516c1,1
t1793c0,t102442c1,1
t1793c0,t12113c1,1
t1793c0,t18109c1,1
t1793c0,t22822c1,1
t1793c0,t26c1,1
t1793c0,t32777c1,1
t1793c0,t34376c1,1
t1793c0,t39524c1,1
t1793c0,t41776c1,1
t1793c0,t48521c1,1
t1793c0,t49962c1,1
t1793c0,t50534c1,1
t1793c0,t5446c1,1
t1793c0,t54728c1,1
t1793c0,t5654c1,1
t1793c0,t57025c1,1
t1793c0,t57115c1,1
t1793c0,t61543c1,1
t1793c0,t69437c1,1
t1793c0,t7339c1,1
t1793c0,t74367c1,1
t1793c0,t75328c1,1
t1793c0,t77913c1,1
t1793c0,t79525c1,1
t1793c0,t88516c1,1
t1793c0,t91837c1,1
t1793c0,t50363c1,1
t1793c0,t95426c1,1
t1793c0,t46956c1,1
t1793c0,t63907c4,1
t1793c0,t78115c3,1
t1793c0,t80076c2,1
t1793c0,t98415c1,1
t1793c0,t41046c3,2
t1793c0,t31919c3,1
t1793c0,t75105c2,1
t1793c0,t71903c1,1
t1793c0,t72845c5,1
t1793c0,t26761c3,1
t1793c0,t99154c4,1
t1793c0,t28761c1,1
t1793c0,t55930c2,1
t1793c0,t69932c2,1
t1793c0,t7821c0,1
t1793c0,t82989c4,1
t1793c0,t35830c3,1
t1793c0,t21946c2,1
t1793c0,t38078c2,1
t1793c0,t5234c4,1
t1793c0,t71458c4,1
t1793c0,t72529c4,1
t1793c0,t55402c2,1
t1793c0,t71222c2,1
t1793c0,t19709c5,1
t1793c0,t40222c2,1
t1793c0,t42631c2,1
t1793c0,t57629c3,1
t1793c0,t31952c3,1
t1793c0,t72218c4,1
t1793c0,t67433c2,1
t1793c0,t48224c2,1
t1793c0,t83638c2,1
t1793c0,t99370c3,1
t1793c0,t3206c4,1
t1793c0,t30072c4,1
t1793c0,t4347c2,1
t1793c0,t90179c2,1
t1793c0,t102239c2,1
t1793c0,t16348c2,1
t1793c0,t21732c2,1
t1793c0,t3151c2,1
t1793c0,t54732c2,1
t1793c0,t55351c2,1
t1793c0,t61419c2,1
t1793c0,t77549c2,1
t1793c0,t82957c2,1
t1793c0,t6594c2,1
t1793c0,t16478c0,1
t1793c0,t5565c7,1
t1793c0,t4678c1,2
t1793c0,t39008c1,1
t1793c0,t278c2,1
t1793c0,t1190c1,1
t1793c0,t20580c1,1
t1793c0,t34167c1,1
t1793c0,t37933c1,1
t1793c0,t3931c1,1
t1793c0,t44795c1,1
t1793c0,t49160c1,1
t1793c0,t69862c1,1
t1793c0,t51887c0,1
t1793c0,t63508c0,1
t1793c0,t65400c0,1
t1793c0,t5687c0,1
t1793c0,t97490c0,1
t1793c0,t79938c3,1
t1793c0,t43925c0,1
t1793c0,t81117c3,1
t1793c0,t3335c3,1
t1793c0,t88827c3,1
t1793c0,t1680c3,1
t1793c0,t89951c0,1
t1793c0,t87674c0,1
t1793c0,t48124c0,1
t1793c0,t68743c0,1
t1793c0,t93314c1,1
t1793c0,t84916c0,1
t1793c0,t84916c1,1
t1793c0,t84916c2,1
t1793c0,t72710c1,16
t1793c0,t23157c0,1
t1793c0,t23157c1,1
t1793c0,t2805c0,1
t1793c0,t14753c1,2
t1793c0,t27497c0,1
t1793c0,t35538c1,2
t1793c0,t65669c1,2
t1793c0,t9330c3,1
t1793c0,t46147c1,3
t1793c0,t59033c0,1
t1793c0,t31582c0,1
t1793c0,t23488c1,2
t1793c0,t28794c0,1
t1793c0,t43730c1,2
t1793c0,t47523c1,2
t1793c0,t47656c0,1
t1793c0,t77080c1,2
t1793c0,t96722c1,1
t1793c0,t92126c2,1
t1793c0,t17392c0,1
t1793c0,t100285c0,1
t1793c0,t2465c0,1
t1793c0,t36119c0,1
t1793c0,t69741c0,1
t1793c0,t9644c0,1
t1793c0,t37037c0,1
t1793c0,t42395c0,1
t1793c0,t5645c1,2
t1793c0,t26683c2,5
t1793c0,t9837c0,1
t1793c0,t41328c2,1
t1793c0,t67674c2,1
t1793c0,t17382c1,2
t1793c0,t74085c1,1
t1793c0,t12256c0,1
t1793c0,t74771c1,1
t1793c0,t35805c1,1
t1793c0,t20446c3,1
t1793c0,t35425c1,1
t1793c0,t15365c2,1
t1793c0,t17232c2,1
t1793c0,t36871c2,1
t1793c0,t43045c2,1
t1793c0,t72647c2,1
t1793c0,t80303c2,1
t1793c0,t87904c2,1
t1793c0,t98623c2,1
t1793c0,t24233c2,1
t1793c0,t30314c2,1
t1793c0,t58264c2,1
t1793c0,t70864c2,1
t1793c0,t78798c2,1
t1793c0,t34142c0,1
t1793c0,t59136c1,1
t1793c0,t86936c1,1
t1793c0,t86510c0,1
t1793c0,t86510c1,1
t1793c0,t100723c2,3
t1793c0,t100096c3,1
t1793c0,t9812c3,1
t1793c0,t8441c3,1
t1793c0,t73497c3,1
t1793c0,t87745c3,1
t1793c0,t15588c3,1
t1793c0,t86074c3,1
t1793c0,t6249c4,1
t1793c0,t20354c7,1
t1793c0,t70068c5,1
t1793c0,t99471c5,1
t1793c0,t22196c6,1
t1793c0,t98255c6,1
t1793c0,t65127c0,1
t1793c0,t36889c7,1
t1793c0,t58975c3,1
t1793c0,t4960c5,1
t1793c0,t43020c7,1
t1793c0,t1169c6,1
t1793c0,t23417c1,1
t1793c0,t72710c0,9
t1793c0,t29329c2,1
t1793c0,t3930c2,1
t1793c0,t93093c0,4
t1793c0,t65533c5,14
t1793c0,t46723c0,1
t1793c0,t19924c4,1
t1793c0,t57629c1,1
t1793c0,t18239c0,1
t1793c0,t12394c2,1
t1793c0,t72710c2,3
t1793c0,t46804c2,1
t1793c0,t48571c7,1
t1793c0,t90384c7,1
t1793c0,t33495c0,1
t1793c0,t31108c0,1
t1793c0,t64827c3,1
t1793c0,t39878c7,1
t1793c0,t19619c7,1
t1793c0,t25765c1,1
t1793c0,t82494c3,1
t1793c0,t76619c3,1
t1793c0,t89496c3,1
t1793c0,t37977c3,1
t1793c0,t50476c3,1
t1793c0,t57513c3,1
t1793c0,t67718c3,1
t1793c0,t57132c3,1
t1793c0,t11219c2,1
t1793c0,t14398c3,1
t1793c0,t88730c3,1
t1793c0,t69552c3,1
t1793c0,t14214c3,1
t1793c0,t103549c1,1
t1793c0,t20521c2,1
t1793c0,t3502c3,1
t1793c0,t3502c4,1
t1793c0,t102317c3,1
t1793c0,t77767c0,1
t1793c0,t59517c1,1
t1793c0,t18617c1,2
t1793c0,t63211c1,2
t1793c0,t48229c0,1
t1793c0,t83564c0,1
t1793c0,t84760c0,1
t1793c0,t36655c0,1
t1793c0,t72568c0,1
t1793c0,t79026c0,1
t1793c0,t70432c1,1
t1793c0,t45444c0,1
t1793c0,t33627c0,1
t1793c0,t43339c0,1
t1793c0,t34053c1,2
t1793c0,t7596c1,2
t1793c0,t82410c1,2
t1793c0,t61437c1,2
t1793c0,t67658c1,2
t1793c0,t47380c2,1
t1793c0,t20578c1,2
t1793c0,t101388c1,1
t1793c0,t76646c1,1
t1793c0,t19656c0,1
t1793c0,t81120c4,1
t1793c0,t50824c0,1
t1793c0,t59455c0,1
t1793c0,t88717c0,1
t1793c0,t6773c1,1
t1793c0,t46736c1,1
t1793c0,t24386c1,1
t1793c0,t56702c1,1
t1793c0,t24615c2,1
t1793c0,t61259c1,1
t1793c0,t35846c0,1
t1793c0,t88222c1,1
t1793c0,t34688c0,1
t1793c0,t53844c0,1
t1793c0,t18222c0,1
t1793c0,t87222c0,1
t1793c0,t101681c0,1
t1793c0,t10295c0,1
t1793c0,t30194c0,1
t1793c0,t10293c0,1
t1793c0,t44629c0,1
t1793c0,t60082c0,1
t1793c0,t28887c0,1
t1793c0,t51202c0,1
t1793c0,t53039c0,1
t1793c0,t308c0,1
t1793c0,t99789c0,1
t1793c0,t41129c0,1
t1793c0,t20397c0,1
t1793c0,t91443c0,1
t1793c0,t57785c0,1
t1793c0,t60248c0,1
t1793c0,t76694c0,1
t1793c0,t102433c0,1
t1793c0,t30051c3,1
t1793c0,t76251c3,1
t1793c0,t1622c3,1
t1793c0,t102632c3,1
t1793c0,t29373c3,1
t1793c0,t53440c4,1
t1793c0,t18824c2,1
t1793c0,t89011c4,1
t1793c0,t19234c5,1
t1793c0,t16839c5,1
t1793c0,t99946c5,1
t1793c0,t20788c5,1
t1793c0,t42320c5,1
t1793c0,t47196c4,1
t1793c0,t7840c4,1
t1793c0,t57527c4,1
t1793c0,t88781c4,1
t1793c0,t85711c4,1
t1793c0,t82639c4,1
t1793c0,t20027c1,1
t1793c0,t51978c1,1
t1793c0,t91572c1,1
t1793c0,t12805c0,1
t1793c0,t82942c4,1
t1793c0,t6230c4,1
t1793c0,t88133c4,1
t1793c0,t7115c0,11
t1793c0,t95779c1,1
t1793c0,t19826c0,1
t1793c0,t6341c0,2
t1793c0,t34582c1,2
t1793c0,t73091c4,1
t1793c0,t7661c1,4
t1793c0,t7661c3,1
t1793c0,t42555c3,1
t1793c0,t95713c3,1
t1793c0,t54930c3,1
t1793c0,t56611c3,1
t1793c0,t49843c2,2
t1793c0,t54012c0,1
t1793c0,t87111c3,2
t1793c0,t75049c1,5
t1793c0,t26455c1,3
t1793c0,t70060c1,1
t1793c0,t42483c2,2
t1793c0,t91206c2,1
t1793c0,t55419c2,1
t1793c0,t22234c0,2
t1793c0,t65942c0,2
t1793c0,t61874c1,1
t1793c0,t17043c1,1
t1793c0,t17043c2,1
t1793c0,t74279c0,1
t1793c0,t879c2,1
t1793c0,t83679c2,1
t1793c0,t95527c1,2
t1793c0,t65149c1,1
t1793c0,t69907c2,1
t1793c0,t67700c1,1
t1793c0,t59135c10,1
t1793c0,t6230c2,1
t1793c0,t94351c2,1
t1793c0,t74619c0,1
t1793c0,t88133c2,1
t1793c0,t2150c2,1
t1793c0,t41607c1,1
t1793c0,t30698c2,1
t1793c0,t101742c1,1
t1793c0,t60972c6,1
t1793c0,t6139c6,1
t1793c0,t40996c6,1
t1793c0,t102856c6,1
t1793c0,t50798c2,1
t1793c0,t17925c0,1
t1793c0,t38459c0,1
t1793c0,t26106c2,1
t1793c0,t61204c1,1
t1793c0,t17589c0,1
t1793c0,t52119c0,1
t1793c0,t70408c0,1
t1793c0,t27692c3,1
t1793c0,t8939c2,1
t1793c0,t3542c0,1
t1793c0,t3924c0,1
t1793c0,t36807c0,1
t1793c0,t86849c0,1
t1793c0,t33622c3,1
t1793c0,t31445c0,1
t1793c0,t50203c3,1
t1793c0,t26661c0,1
t1793c0,t88054c3,1
t1793c0,t22422c3,1
t1793c0,t43629c1,1
t1793c0,t77749c3,1
t1793c0,t49452c0,1
t1793c0,t9767c2,1
t1793c0,t92071c2,1
t1793c0,t65040c2,1
t1793c0,t60973c0,1
t1793c0,t36834c1,1
t1793c0,t5442c3,2
t1793c0,t59832c3,2
t1793c0,t99574c3,2
t1793c0,t32841c3,2
t1793c0,t29280c0,2
t1793c0,t83813c0,1
t1793c0,t67470c1,1
t1793c0,t31841c0,1
t1793c0,t79291c2,1
t1793c0,t54681c0,1
t1793c0,t58991c0,1
t1793c0,t5581c0,1
t1793c0,t60282c0,1
t1793c0,t9177c3,1
t1793c0,t5071c0,1
t1793c0,t67941c0,1
t1793c0,t4550c0,1
t1793c0,t77524c0,1
t1793c0,t45733c0,1
t1793c0,t30948c1,1
t1793c0,t54437c1,1
t1793c0,t91501c0,1
t1793c0,t82127c3,1
t1793c0,t55706c2,1
t1793c0,t20401c3,1
t1793c0,t92067c1,1
t1793c0,t92067c3,1
t1793c0,t52358c2,1
t1793c0,t50798c1,1
t1793c0,t75976c2,1
t1793c0,t16249c2,1
t1793c0,t59802c0,1
t1793c0,t72937c2,1
t1793c0,t80157c2,1
t1793c0,t80634c2,1
t1793c0,t50967c2,1
t1793c0,t31881c2,1
t1793c0,t37981c1,1
t1793c0,t93929c0,1
t1793c0,t57007c2,1
t1793c0,t43436c0,1
t1793c0,t60575c0,1
t1793c0,t30020c2,1
t1793c0,t48099c2,1
t1793c0,t3105c1,1
t1793c0,t3105c3,1
t1793c0,t50010c2,1
t1793c0,t75773c1,1
t1793c0,t46006c1,1
t1793c0,t94990c1,1
t1793c0,t94990c3,1
t1793c0,t44526c2,1
t1793c0,t23531c1,1
t1793c0,t60388c0,1
t1793c0,t103074c2,2
t1793c0,t69589c0,1
t1793c0,t100510c2,1
t1793c0,t15171c2,1
t1793c0,t45161c2,1
t1793c0,t103384c2,1
t1793c0,t60719c2,1
t1793c0,t85286c2,1
t1793c0,t87111c2,1
t1793c0,t65790c2,1
t1793c0,t95108c2,1
t1793c0,t51746c2,1
t1793c0,t69861c2,1
t1793c0,t99466c2,1
t1793c0,t85069c2,1
