k,querytime,nb_threads
1,2.460274,64
3,5.244263,64
5,5.872055,64
10,6.479408,64
30,6.607976,64
50,6.609325,64
100,6.609334,64
300,6.616573,64
500,6.616581,64
1000,6.616612,64
1,5.492157,64
3,12.009953,64
5,12.403061,64
10,13.045803,64
30,13.192714,64
50,13.417558,64
100,13.484504,64
300,13.484550,64
500,13.484601,64
1000,13.509748,64
1,2.795333,64
3,3.530856,64
5,4.054348,64
10,4.518938,64
30,5.022638,64
50,5.548317,64
100,5.659312,64
300,5.697450,64
500,5.703165,64
1000,5.703187,64
1,3.875515,64
3,4.051389,64
5,4.570087,64
10,4.724072,64
30,4.825533,64
50,4.849183,64
100,4.925826,64
300,4.925846,64
500,4.925850,64
1000,4.925868,64
1,1.939758,64
3,2.095993,64
5,2.495033,64
10,3.118255,64
30,4.031045,64
50,4.607671,64
100,5.205297,64
300,5.453604,64
500,5.466219,64
1000,5.476179,64
