tqq,tss,overlap
t1793c0,t813c0,1
t1793c0,t4633c0,32
t1793c0,t9576c0,27
t1793c0,t12420c0,8
t1793c0,t12925c0,1
t1793c0,t14520c0,23
t1793c0,t15938c0,1
t1793c0,t17327c0,18
t1793c0,t19596c0,5
t1793c0,t22316c0,5
t1793c0,t23022c0,2
t1793c0,t24108c0,2
t1793c0,t24799c0,2
t1793c0,t25561c0,1
t1793c0,t26269c0,1
t1793c0,t26821c0,3
t1793c0,t27278c0,9
t1793c0,t30821c0,17
t1793c0,t31526c0,11
t1793c0,t35608c0,2
t1793c0,t35870c0,15
t1793c0,t36132c0,3
t1793c0,t39354c0,8
t1793c0,t39950c0,7
t1793c0,t40653c0,4
t1793c0,t42078c0,8
t1793c0,t45932c0,1
t1793c0,t48237c0,15
t1793c0,t48548c0,16
t1793c0,t55265c0,9
t1793c0,t55985c0,22
t1793c0,t59712c0,3
t1793c0,t62627c0,13
t1793c0,t63442c0,12
t1793c0,t67318c0,2
t1793c0,t67528c0,57
t1793c0,t70786c0,21
t1793c0,t72582c0,7
t1793c0,t73228c0,6
t1793c0,t73738c0,22
t1793c0,t77653c0,1
t1793c0,t77952c0,15
t1793c0,t81169c0,1
t1793c0,t81753c0,21
t1793c0,t82437c0,3
t1793c0,t82992c0,3
t1793c0,t83238c0,2
t1793c0,t83844c0,2
t1793c0,t86970c0,2
t1793c0,t90300c0,8
t1793c0,t94611c0,11
t1793c0,t97643c0,38
t1793c0,t98359c0,11
t1793c0,t98604c0,1
t1793c0,t99928c0,19
t1793c0,t101135c0,1
t1793c0,t101405c0,1
t1793c0,t53627c0,1
t1793c0,t26c1,1
t1793c0,t3151c2,1
t1793c0,t3206c4,2
t1793c0,t4347c2,1
t1793c0,t5234c4,1
t1793c0,t5446c1,1
t1793c0,t5654c1,1
t1793c0,t7339c1,1
t1793c0,t7821c0,3
t1793c0,t12113c1,1
t1793c0,t13325c2,6
t1793c0,t16348c2,1
t1793c0,t17480c2,3
t1793c0,t18109c1,1
t1793c0,t18170c1,1
t1793c0,t18908c3,3
t1793c0,t19709c5,1
t1793c0,t21732c2,1
t1793c0,t21946c2,3
t1793c0,t22822c1,1
t1793c0,t26761c3,2
t1793c0,t28761c1,1
t1793c0,t30072c4,2
t1793c0,t31919c3,2
t1793c0,t31952c3,1
t1793c0,t32777c1,1
t1793c0,t34376c1,1
t1793c0,t35830c3,1
t1793c0,t38078c2,1
t1793c0,t39524c1,1
t1793c0,t40222c2,6
t1793c0,t41046c3,2
t1793c0,t41776c1,1
t1793c0,t42631c2,2
t1793c0,t46723c1,1
t1793c0,t46956c1,1
t1793c0,t48224c2,5
t1793c0,t48521c1,1
t1793c0,t49962c1,1
t1793c0,t50207c1,1
t1793c0,t50363c1,1
t1793c0,t50534c1,1
t1793c0,t54728c1,1
t1793c0,t54732c2,1
t1793c0,t55351c2,1
t1793c0,t55402c2,6
t1793c0,t55930c2,1
t1793c0,t57025c1,1
t1793c0,t57115c1,1
t1793c0,t57629c3,1
t1793c0,t61419c2,1
t1793c0,t61543c1,1
t1793c0,t62662c1,1
t1793c0,t63907c4,1
t1793c0,t67433c2,3
t1793c0,t69437c1,1
t1793c0,t69932c2,4
t1793c0,t71222c2,6
t1793c0,t71458c4,1
t1793c0,t71903c1,1
t1793c0,t72218c4,1
t1793c0,t72529c4,1
