tqq,tss,overlap
t1793_c0,t77952_c0,1
t1793_c0,t31526_c0,1
t1793_c0,t77653_c0,1
t1793_c0,t90300_c0,1
t1793_c0,t63442_c0,1
t1793_c0,t39354_c0,1
t1793_c0,t101135_c0,1
t1793_c0,t98359_c0,1
t1793_c0,t94611_c0,1
t1793_c0,t35608_c0,1
t1793_c0,t62627_c0,1
t1793_c0,t12925_c0,1
t1793_c0,t70786_c0,1
t1793_c0,t35870_c0,1
t1793_c0,t12420_c0,1
t1793_c0,t86970_c0,1
t1793_c0,t14520_c0,1
t1793_c0,t55265_c0,1
t1793_c0,t48548_c0,1
t1793_c0,t67318_c0,1
t1793_c0,t30821_c0,1
t1793_c0,t24108_c0,1
t1793_c0,t40653_c0,1
t1793_c0,t48237_c0,1
t1793_c0,t81753_c0,1
t1793_c0,t9576_c0,1
t1793_c0,t99928_c0,1
t1793_c0,t82992_c0,1
t1793_c0,t17327_c0,1
t1793_c0,t55985_c0,1
t1793_c0,t73738_c0,1
t1793_c0,t4633_c0,1
t1793_c0,t26269_c0,1
t1793_c0,t82437_c0,1
t1793_c0,t19596_c0,1
t1793_c0,t39950_c0,1
t1793_c0,t97643_c0,1
t1793_c0,t36132_c0,1
t1793_c0,t83238_c0,1
t1793_c0,t67528_c0,1
t1793_c0,t42078_c0,1
t1793_c0,t15938_c0,1
t1793_c0,t26821_c0,1
t1793_c0,t45932_c0,1
t1793_c0,t59712_c0,1
t1793_c0,t81169_c0,1
t1793_c0,t813_c0,1
t1793_c0,t83844_c0,1
t1793_c0,t72582_c0,1
t1793_c0,t27278_c0,1
t1793_c0,t22316_c0,1
t1793_c0,t73228_c0,1
t1793_c0,t101405_c0,1
t1793_c0,t23022_c0,1
t1793_c0,t25561_c0,1
t1793_c0,t98604_c0,1
t1793_c0,t24799_c0,1
t1793_c0,t16574_c6,1
t1793_c0,t73320_c5,1
t1793_c0,t54406_c15,1
t1793_c0,t63022_c15,1
t1793_c0,t40434_c15,1
t1793_c0,t72626_c15,1
t1793_c0,t85734_c15,1
t1793_c0,t103331_c15,1
t1793_c0,t69388_c12,1
t1793_c0,t42190_c15,1
t1793_c0,t91224_c16,1
t1793_c0,t90335_c15,1
t1793_c0,t59522_c16,1
t1793_c0,t8583_c16,1
t1793_c0,t35952_c16,1
t1793_c0,t49858_c14,1
t1793_c0,t80466_c16,1
t1793_c0,t22092_c16,1
t1793_c0,t43954_c14,1
t1793_c0,t84988_c16,1
t1793_c0,t49060_c16,1
t1793_c0,t70174_c1,1
t1793_c0,t70174_c3,1
t1793_c0,t9131_c7,1
t1793_c0,t36598_c15,1
t1793_c0,t73146_c15,1
t1793_c0,t9995_c15,1
t1793_c0,t30118_c15,1
t1793_c0,t4921_c15,1
t1793_c0,t62928_c5,1
t1793_c0,t48052_c15,1
t1793_c0,t64379_c15,1
t1793_c0,t76807_c15,1
t1793_c0,t98787_c15,1
t1793_c0,t99278_c15,1
t1793_c0,t29390_c15,1
t1793_c0,t69797_c15,1
t1793_c0,t8553_c15,1
t1793_c0,t52117_c15,1
t1793_c0,t46672_c15,1
t1793_c0,t23759_c15,1
t1793_c0,t61579_c15,1
t1793_c0,t74038_c15,1
t1793_c0,t97358_c15,1
t1793_c0,t11971_c15,1
t1793_c0,t65044_c15,1
t1793_c0,t64053_c15,1
t1793_c0,t61553_c15,1
t1793_c0,t67393_c15,1
t1793_c0,t62463_c9,1
t1793_c0,t5056_c15,1
t1793_c0,t25317_c15,1
t1793_c0,t15565_c2,1
t1793_c0,t95384_c6,1
t1793_c0,t71259_c0,1
t1793_c0,t1182_c0,1
t1793_c0,t2121_c0,1
t1793_c0,t41296_c0,1
t1793_c0,t51702_c0,1
t1793_c0,t93154_c0,1
t1793_c0,t12718_c0,1
t1793_c0,t8095_c0,1
t1793_c0,t44000_c0,1
t1793_c0,t2477_c0,1
t1793_c0,t18355_c0,1
t1793_c0,t33430_c0,1
t1793_c0,t34115_c0,1
t1793_c0,t2684_c0,1
t1793_c0,t29093_c0,1
t1793_c0,t3090_c0,1
t1793_c0,t31207_c0,1
t1793_c0,t35862_c0,1
t1793_c0,t42991_c0,1
t1793_c0,t502_c0,1
t1793_c0,t71138_c0,1
t1793_c0,t71215_c0,1
t1793_c0,t72951_c0,1
t1793_c0,t79760_c0,1
t1793_c0,t75371_c0,1
t1793_c0,t78099_c0,1
t1793_c0,t85984_c0,1
t1793_c0,t86223_c0,1
t1793_c0,t83047_c0,1
t1793_c0,t71297_c0,1
t1793_c0,t101495_c0,1
t1793_c0,t103051_c0,1
t1793_c0,t13480_c0,1
t1793_c0,t18174_c0,1
t1793_c0,t297_c0,1
t1793_c0,t37414_c0,1
t1793_c0,t4662_c0,1
t1793_c0,t48735_c0,1
t1793_c0,t5659_c0,1
t1793_c0,t5600_c0,1
t1793_c0,t65712_c0,1
t1793_c0,t65793_c0,1
t1793_c0,t69077_c0,1
t1793_c0,t84466_c0,1
t1793_c0,t82272_c0,1
t1793_c0,t82421_c0,1
t1793_c0,t85228_c0,1
t1793_c0,t92614_c0,1
t1793_c0,t92675_c2,1
t1793_c0,t98024_c5,3
t1793_c0,t3508_c4,1
t1793_c0,t63045_c1,1
t1793_c0,t90332_c2,1
t1793_c0,t82945_c4,1
t1793_c0,t91080_c0,1
t1793_c0,t75472_c4,1
t1793_c0,t20866_c2,1
t1793_c0,t16384_c7,1
t1793_c0,t16384_c8,1
t1793_c0,t51584_c4,1
t1793_c0,t16863_c0,1
t1793_c0,t30504_c0,2
t1793_c0,t25861_c0,1
t1793_c0,t48993_c1,1
t1793_c0,t43621_c2,1
t1793_c0,t42483_c7,1
t1793_c0,t63185_c1,1
t1793_c0,t31020_c7,1
t1793_c0,t59351_c2,1
t1793_c0,t58231_c4,1
t1793_c0,t43712_c7,1
t1793_c0,t91859_c0,1
t1793_c0,t74555_c2,1
t1793_c0,t30601_c11,1
t1793_c0,t13776_c1,1
t1793_c0,t32051_c7,1
t1793_c0,t80374_c2,1
t1793_c0,t40243_c1,1
t1793_c0,t55772_c0,1
t1793_c0,t5012_c4,1
t1793_c0,t78391_c3,1
t1793_c0,t64542_c3,1
t1793_c0,t103117_c6,1
t1793_c0,t15425_c6,1
t1793_c0,t83992_c6,1
t1793_c0,t30661_c7,1
t1793_c0,t47964_c5,1
t1793_c0,t61318_c3,1
t1793_c0,t7851_c2,1
t1793_c0,t42295_c4,1
t1793_c0,t41603_c0,1
t1793_c0,t60067_c6,1
t1793_c0,t91061_c2,2
t1793_c0,t64021_c1,1
t1793_c0,t89806_c0,2
t1793_c0,t57186_c2,1
t1793_c0,t89806_c2,1
t1793_c0,t6860_c1,1
t1793_c0,t27033_c3,1
t1793_c0,t21150_c3,1
t1793_c0,t95237_c3,1
t1793_c0,t68302_c2,1
t1793_c0,t87372_c4,1
t1793_c0,t39804_c0,1
t1793_c0,t32554_c0,1
t1793_c0,t40129_c0,1
t1793_c0,t32511_c5,1
t1793_c0,t67627_c3,1
t1793_c0,t29291_c4,1
t1793_c0,t29291_c7,1
t1793_c0,t83632_c4,1
t1793_c0,t18398_c11,1
t1793_c0,t76900_c7,1
t1793_c0,t86103_c5,1
t1793_c0,t4652_c5,1
t1793_c0,t65603_c5,1
t1793_c0,t72540_c5,1
t1793_c0,t53502_c4,2
t1793_c0,t97336_c8,1
t1793_c0,t42198_c3,1
t1793_c0,t91655_c2,1
t1793_c0,t1798_c1,1
t1793_c0,t18808_c1,1
t1793_c0,t98024_c6,2
t1793_c0,t88582_c11,1
t1793_c0,t81830_c4,1
t1793_c0,t51266_c2,1
t1793_c0,t39872_c2,1
t1793_c0,t64553_c2,1
t1793_c0,t7194_c2,1
t1793_c0,t75406_c4,1
t1793_c0,t91208_c1,1
t1793_c0,t64213_c1,1
t1793_c0,t2059_c5,1
t1793_c0,t87329_c7,1
t1793_c0,t43133_c0,1
t1793_c0,t27132_c0,1
t1793_c0,t20241_c10,1
t1793_c0,t49043_c6,1
t1793_c0,t10551_c6,1
t1793_c0,t50155_c6,1
t1793_c0,t75955_c6,1
t1793_c0,t77444_c6,1
t1793_c0,t32565_c6,1
t1793_c0,t12871_c5,1
t1793_c0,t35137_c4,1
t1793_c0,t33777_c6,1
t1793_c0,t95549_c3,1
t1793_c0,t57570_c1,1
t1793_c0,t90996_c10,1
t1793_c0,t78150_c8,1
t1793_c0,t98922_c23,1
t1793_c0,t96892_c1,1
t1793_c0,t100940_c1,1
t1793_c0,t19556_c3,1
t1793_c0,t19556_c10,1
t1793_c0,t27857_c1,1
t1793_c0,t96323_c3,1
t1793_c0,t30367_c8,1
t1793_c0,t52107_c2,1
t1793_c0,t57498_c5,1
t1793_c0,t22217_c10,1
t1793_c0,t28826_c10,1
t1793_c0,t69585_c6,1
t1793_c0,t98135_c3,1
t1793_c0,t44560_c23,1
t1793_c0,t94899_c3,1
t1793_c0,t54903_c2,1
t1793_c0,t65533_c4,1
t1793_c0,t17490_c3,1
t1793_c0,t95610_c4,1
t1793_c0,t42924_c2,1
t1793_c0,t55419_c7,1
t1793_c0,t70072_c3,1
t1793_c0,t29736_c4,1
t1793_c0,t82432_c0,1
t1793_c0,t90103_c0,1
t1793_c0,t76907_c9,1
t1793_c0,t54514_c3,1
t1793_c0,t38320_c15,1
t1793_c0,t103218_c8,1
t1793_c0,t37581_c3,1
t1793_c0,t91640_c1,1
t1793_c0,t93473_c3,1
t1793_c0,t16850_c3,1
t1793_c0,t64649_c1,1
t1793_c0,t4247_c1,1
t1793_c0,t37421_c2,1
t1793_c0,t37564_c10,1
t1793_c0,t101826_c4,1
t1793_c0,t31257_c1,1
t1793_c0,t21930_c2,1
t1793_c0,t40156_c2,1
t1793_c0,t41181_c2,1
t1793_c0,t5611_c1,1
t1793_c0,t86504_c0,1
t1793_c0,t47705_c1,1
t1793_c0,t27880_c10,1
t1793_c0,t56194_c0,1
t1793_c0,t9981_c5,1
t1793_c0,t40154_c3,1
t1793_c0,t99428_c8,1
t1793_c0,t89798_c2,1
t1793_c0,t15537_c5,1
t1793_c0,t30237_c2,1
t1793_c0,t101203_c4,1
t1793_c0,t54133_c1,1
t1793_c0,t32545_c1,1
t1793_c0,t55932_c1,1
t1793_c0,t98985_c1,1
t1793_c0,t43714_c1,1
t1793_c0,t96541_c1,1
t1793_c0,t86835_c1,1
t1793_c0,t26415_c1,1
t3967_c0,t75864_c0,2
t3967_c0,t73581_c2,1
t3967_c0,t94256_c0,1
t3967_c0,t61814_c1,1
t3967_c0,t39804_c0,1
t3967_c0,t32554_c0,1
t3967_c0,t40129_c0,1
t3967_c0,t79295_c3,1
t3967_c0,t41754_c3,1
t3967_c0,t2059_c5,1
t3967_c0,t96526_c3,1
t3967_c0,t47364_c1,1
t3967_c0,t47364_c2,1
t3967_c0,t90833_c1,1
t3967_c0,t37657_c7,1
t3967_c0,t40251_c2,1
t3967_c0,t81428_c2,1
t3967_c0,t56188_c1,1
t3967_c0,t95237_c3,1
t3967_c0,t90142_c2,1
t3967_c0,t18808_c1,1
t3967_c0,t33982_c2,1
t3967_c0,t55772_c0,1
t3967_c0,t80263_c1,1
t3967_c0,t92963_c1,1
t3967_c0,t35597_c1,1
t3967_c0,t42295_c1,1
t3967_c0,t69206_c2,1
t3967_c0,t21426_c0,1
t3967_c0,t16265_c6,1
t3967_c0,t50415_c1,1
t3967_c0,t69642_c3,1
t3967_c0,t96501_c1,1
t3967_c0,t17507_c1,1
t3967_c0,t9662_c4,1
t3967_c0,t38123_c3,1
t3967_c0,t67119_c1,1
t3967_c0,t7194_c1,1
t3967_c0,t38155_c1,1
t3967_c0,t81952_c4,1
t3967_c0,t76044_c0,1
t3967_c0,t47462_c3,1
t3967_c0,t39742_c2,1
t3967_c0,t49858_c14,1
t3967_c0,t38639_c14,1
t3967_c0,t71785_c16,1
t3967_c0,t70174_c1,1
t3967_c0,t70174_c2,1
t3967_c0,t70174_c3,1
t3967_c0,t70174_c4,1
t3967_c0,t70174_c5,1
t3967_c0,t17765_c14,1
t3967_c0,t97627_c5,1
t3967_c0,t22051_c19,1
t3967_c0,t69458_c3,1
t3967_c0,t33630_c0,1
t3967_c0,t51338_c2,1
t3967_c0,t77982_c0,1
t3967_c0,t44526_c0,1
t3967_c0,t32196_c2,1
t3967_c0,t63120_c0,1
t3967_c0,t64542_c3,1
t3967_c0,t59185_c2,1
t3967_c0,t36214_c1,1
t3967_c0,t42483_c7,1
t3967_c0,t63185_c1,1
t3967_c0,t31020_c7,1
t3967_c0,t59351_c2,1
t3967_c0,t58231_c4,1
t3967_c0,t43712_c7,1
t3967_c0,t78391_c3,1
t3967_c0,t42924_c2,1
t3967_c0,t15644_c0,1
t3967_c0,t71880_c4,1
t3967_c0,t27283_c3,1
t3967_c0,t27033_c3,1
t3967_c0,t21150_c3,1
t3967_c0,t68367_c5,1
t3967_c0,t76907_c7,1
t3967_c0,t88582_c10,1
t3967_c0,t88582_c11,1
t3967_c0,t82384_c2,1
t3967_c0,t18899_c5,1
t3967_c0,t31423_c2,1
t3967_c0,t7690_c1,1
t3967_c0,t25530_c1,1
t3967_c0,t43166_c2,1
t3967_c0,t45598_c2,1
t3967_c0,t50205_c2,1
t3967_c0,t89097_c2,1
t3967_c0,t82151_c1,1
t3967_c0,t31435_c4,1
t3967_c0,t44115_c1,1
t3967_c0,t21425_c3,1
t3967_c0,t98356_c3,1
t3967_c0,t66601_c4,1
t3967_c0,t25251_c2,1
t3967_c0,t89376_c2,1
t3967_c0,t102260_c3,1
t3967_c0,t46385_c1,1
t3967_c0,t46385_c2,1
t3967_c0,t60089_c3,1
t3967_c0,t36244_c6,1
t3967_c0,t14484_c4,1
t3967_c0,t50879_c4,1
t3967_c0,t48879_c0,1
t3967_c0,t77379_c3,1
t3967_c0,t99404_c1,1
t3967_c0,t7115_c0,1
t3967_c0,t61930_c1,1
t3967_c0,t30632_c5,1
t3967_c0,t98024_c5,1
t3967_c0,t100584_c3,1
t3967_c0,t24697_c6,1
t3967_c0,t45208_c9,1
t3967_c0,t70029_c11,1
t3967_c0,t70029_c12,1
t3967_c0,t101991_c6,1
t3967_c0,t16062_c1,1
t3967_c0,t38933_c2,1
t3967_c0,t93886_c2,1
t3967_c0,t54075_c4,1
t3967_c0,t26606_c4,1
t3967_c0,t26606_c5,1
t3967_c0,t66437_c1,1
t3967_c0,t55837_c1,1
t3967_c0,t62964_c14,1
t3967_c0,t60222_c10,1
t3967_c0,t60120_c7,1
t3967_c0,t46877_c5,1
