k,querytime,nb_threads
1,3.877523,8
3,5.773287,8
5,5.776555,8
10,6.126360,8
30,6.396372,8
50,6.396435,8
100,6.396452,8
300,6.396552,8
500,6.396651,8
1000,6.396862,8
1,2.169313,8
3,2.374486,8
5,2.377690,8
10,2.377693,8
30,2.383389,8
50,2.383395,8
100,2.383412,8
300,2.383497,8
500,2.383542,8
1000,2.383680,8
1,2.121113,8
3,2.169690,8
5,2.177268,8
10,2.182611,8
30,2.209016,8
50,2.209649,8
100,2.212667,8
300,2.212728,8
500,2.214198,8
1000,2.214389,8
1,2.030037,8
3,2.102299,8
5,2.105750,8
10,2.105795,8
30,2.105853,8
50,2.105856,8
100,2.137360,8
300,2.137426,8
500,2.137478,8
1000,2.137640,8
1,1.713557,8
3,1.759166,8
5,1.815621,8
10,1.855337,8
30,1.855348,8
50,1.884684,8
100,1.884705,8
300,1.884764,8
500,1.884819,8
1000,1.884956,8
1,1.226490,8
3,1.275358,8
5,1.275358,8
10,1.275453,8
30,1.275459,8
50,1.281472,8
100,1.281586,8
300,1.281659,8
500,1.282026,8
1000,1.368369,8
1,3.766422,8
3,4.176340,8
5,4.206874,8
10,4.206959,8
30,4.383111,8
50,4.383126,8
100,4.445009,8
300,4.608987,8
500,4.609067,8
1000,4.609356,8
1,2.621813,8
3,2.633037,8
5,2.728670,8
10,2.816186,8
30,2.816266,8
50,2.816324,8
100,2.816336,8
300,2.816389,8
500,2.816448,8
1000,2.816593,8
1,1.305228,8
3,1.524846,8
5,1.528468,8
10,1.547013,8
30,1.547101,8
50,1.547110,8
100,1.547123,8
300,1.547193,8
500,1.547381,8
1000,1.547552,8
1,2.070679,8
3,2.167030,8
5,2.177132,8
10,2.179350,8
30,2.179361,8
50,2.183368,8
100,2.189132,8
300,2.189190,8
500,2.192231,8
1000,2.192405,8
1,3.830143,16
3,5.603824,16
5,5.762425,16
10,5.762430,16
30,5.825787,16
50,5.825793,16
100,5.825813,16
300,5.829752,16
500,5.829871,16
1000,5.830108,16
1,1.400903,16
3,1.577468,16
5,1.604623,16
10,1.649441,16
30,1.682356,16
50,1.682360,16
100,1.685195,16
300,1.685246,16
500,1.685289,16
1000,1.735193,16
1,1.390140,16
3,1.529945,16
5,1.594732,16
10,1.594732,16
30,1.594737,16
50,1.594743,16
100,1.613298,16
300,1.613368,16
500,1.613441,16
1000,1.613631,16
1,1.772305,16
3,1.852662,16
5,1.852720,16
10,1.852768,16
30,1.852857,16
50,1.852863,16
100,1.852870,16
300,1.852916,16
500,1.852976,16
1000,1.853144,16
1,1.205845,16
3,1.340586,16
5,1.356732,16
10,1.356734,16
30,1.356741,16
50,1.356749,16
100,1.356765,16
300,1.356830,16
500,1.356898,16
1000,1.357037,16
1,0.861419,16
3,0.881450,16
5,0.881450,16
10,0.881450,16
30,0.881453,16
50,0.885741,16
100,0.981954,16
300,1.036400,16
500,1.036444,16
1000,1.054474,16
1,2.242544,16
3,2.928398,16
5,3.082802,16
10,3.232881,16
30,3.232885,16
50,3.241889,16
100,3.244907,16
300,3.319549,16
500,3.319622,16
1000,3.319834,16
1,1.612558,16
3,1.747442,16
5,1.902091,16
10,1.902091,16
30,1.908644,16
50,1.918268,16
100,1.918286,16
300,1.918341,16
500,1.918404,16
1000,1.918577,16
1,0.890252,16
3,1.167249,16
5,1.244799,16
10,1.244854,16
30,1.244855,16
50,1.250336,16
100,1.250348,16
300,1.250417,16
500,1.250495,16
1000,1.250733,16
1,1.458396,16
3,1.544546,16
5,1.549075,16
10,1.549076,16
30,1.549078,16
50,1.554398,16
100,1.554404,16
300,1.554430,16
500,1.554457,16
1000,1.554517,16
1,4.297061,32
3,6.842962,32
5,6.886556,32
10,6.928608,32
30,7.135991,32
50,7.135996,32
100,7.136011,32
300,7.136079,32
500,7.136122,32
1000,7.136261,32
1,0.999868,32
3,1.001955,32
5,1.001955,32
10,1.006958,32
30,1.006965,32
50,1.006970,32
100,1.006977,32
300,1.007015,32
500,1.007051,32
1000,1.007170,32
1,0.852399,32
3,0.959646,32
5,0.959646,32
10,0.987867,32
30,0.987870,32
50,1.024920,32
100,1.024935,32
300,1.025040,32
500,1.025119,32
1000,1.025206,32
1,0.981934,32
3,1.049807,32
5,1.052849,32
10,1.052850,32
30,1.052853,32
50,1.052854,32
100,1.052859,32
300,1.052901,32
500,1.052944,32
1000,1.053063,32
1,0.894921,32
3,0.948223,32
5,0.974391,32
10,0.974391,32
30,0.999119,32
50,0.999122,32
100,0.999127,32
300,0.999139,32
500,0.999160,32
1000,0.999212,32
1,0.611852,32
3,0.622284,32
5,0.622284,32
10,0.623721,32
30,0.623723,32
50,0.681615,32
100,0.681624,32
300,0.681662,32
500,0.681704,32
1000,0.681794,32
1,1.422793,32
3,2.657900,32
5,2.657901,32
10,2.739394,32
30,2.739398,32
50,2.739404,32
100,2.739419,32
300,2.739471,32
500,2.739536,32
1000,2.739660,32
1,1.271929,32
3,1.367335,32
5,1.367335,32
10,1.367337,32
30,1.395540,32
50,1.395636,32
100,1.395640,32
300,1.395663,32
500,1.395693,32
1000,1.395776,32
1,0.675663,32
3,0.804136,32
5,0.804136,32
10,0.821459,32
30,0.821461,32
50,0.821463,32
100,0.821471,32
300,0.821540,32
500,0.821582,32
1000,0.821722,32
1,0.994798,32
3,0.994799,32
5,1.001007,32
10,1.001007,32
30,1.021226,32
50,1.021228,32
100,1.021243,32
300,1.021304,32
500,1.021372,32
1000,1.021450,32
1,4.477639,64
3,5.867319,64
5,5.867323,64
10,5.932975,64
30,5.945916,64
50,5.945925,64
100,5.945950,64
300,5.946029,64
500,5.946119,64
1000,5.946286,64
1,0.811107,64
3,1.138827,64
5,1.138828,64
10,1.138830,64
30,1.149320,64
50,1.149325,64
100,1.149347,64
300,1.150099,64
500,1.150118,64
1000,1.150185,64
1,0.980405,64
3,1.046992,64
5,1.046992,64
10,1.046992,64
30,1.076660,64
50,1.076660,64
100,1.076665,64
300,1.076682,64
500,1.076698,64
1000,1.076741,64
1,0.926226,64
3,1.147620,64
5,1.147673,64
10,1.147673,64
30,1.147675,64
50,1.147678,64
100,1.147682,64
300,1.147715,64
500,1.147753,64
1000,1.147815,64
1,0.819422,64
3,1.154110,64
5,1.154110,64
10,1.154110,64
30,1.154110,64
50,1.154117,64
100,1.154146,64
300,1.154228,64
500,1.154298,64
1000,1.154502,64
1,0.749637,64
3,0.754424,64
5,0.754424,64
10,0.754424,64
30,0.754425,64
50,0.754426,64
100,0.795162,64
300,0.795186,64
500,0.795211,64
1000,0.818785,64
1,1.883605,64
3,2.664148,64
5,2.664149,64
10,2.664149,64
30,2.675002,64
50,2.675006,64
100,2.675013,64
300,2.675071,64
500,2.675165,64
1000,2.675362,64
1,1.456264,64
3,1.564500,64
5,1.564500,64
10,1.564500,64
30,1.628281,64
50,1.628281,64
100,1.628283,64
300,1.628302,64
500,1.628341,64
1000,1.628424,64
1,0.721027,64
3,0.845865,64
5,0.857997,64
10,0.860158,64
30,0.860160,64
50,0.860160,64
100,0.860165,64
300,0.860186,64
500,0.860204,64
1000,0.860270,64
1,1.043101,64
3,1.223379,64
5,1.223379,64
10,1.223379,64
30,1.227562,64
50,1.265955,64
100,1.286123,64
300,1.286193,64
500,1.286279,64
1000,1.286496,64
