k,querytimee,nb_threads
1,3.826078,8
3,6.329630,8
5,6.393308,8
10,6.513219,8
30,6.513229,8
50,6.612195,8
100,6.612219,8
300,6.612326,8
500,6.612431,8
1000,6.612710,8
1,2.116618,8
3,2.174312,8
5,2.278619,8
10,2.278677,8
30,2.281549,8
50,2.281555,8
100,2.281675,8
300,2.281723,8
500,2.281783,8
1000,2.281917,8
1,1.878229,8
3,1.982401,8
5,1.982401,8
10,1.982401,8
30,1.984457,8
50,1.995182,8
100,2.012122,8
300,2.012192,8
500,2.012264,8
1000,2.017253,8
1,1.884896,8
3,1.994755,8
5,2.000080,8
10,2.041160,8
30,2.077822,8
50,2.077827,8
100,2.103931,8
300,2.104008,8
500,2.104103,8
1000,2.104337,8
1,1.538805,8
3,1.606322,8
5,1.662420,8
10,1.683407,8
30,1.687994,8
50,1.690625,8
100,1.690637,8
300,1.690702,8
500,1.690752,8
1000,1.690897,8
1,1.203480,8
3,1.207928,8
5,1.207929,8
10,1.247134,8
30,1.247146,8
50,1.247585,8
100,1.259788,8
300,1.259906,8
500,1.262428,8
1000,1.294655,8
1,3.015150,8
3,4.119347,8
5,4.126260,8
10,4.126264,8
30,4.173287,8
50,4.173292,8
100,4.255045,8
300,4.279708,8
500,4.285065,8
1000,4.285345,8
1,2.509131,8
3,2.770747,8
5,2.770749,8
10,2.829652,8
30,2.907483,8
50,2.907602,8
100,2.907627,8
300,2.907719,8
500,2.907821,8
1000,2.908036,8
1,1.314996,8
3,1.434464,8
5,1.437498,8
10,1.439080,8
30,1.439094,8
50,1.439100,8
100,1.439115,8
300,1.439298,8
500,1.439392,8
1000,1.439626,8
1,1.917775,8
3,1.987411,8
5,1.987480,8
10,2.013119,8
30,2.013133,8
50,2.013141,8
100,2.052952,8
300,2.053014,8
500,2.082726,8
1000,2.082863,8
