tqq,recall,precision,k
t1793c0,0.0,0.0,1
t3967c0,0.0,0.0,1
t7378c9,0.0,0.0,1
t7821c1,0.0,0.0,1
t8999c1,0.00016725204883759825,0.022222222222222223,1
t9136c4,0.0009470978216750102,0.84,1
t13388c1,0.0,0.0,1
t15192c0,0.0,0.0,1
t1793c0,0.0,0.0,5
t3967c0,0.0,0.0,5
t7378c9,0.010554089709762533,0.014084507042253521,5
t7821c1,0.0,0.0,5
t8999c1,0.0005017561465127947,0.015151515151515152,5
t9136c4,0.004915888693456005,0.7364864864864865,5
t13388c1,2.76441643169127e-05,0.011494252873563218,5
t15192c0,0.0,0.0,5
t1793c0,0.0,0.0,10
t3967c0,0.0,0.0,10
t7378c9,0.010554089709762533,0.007476635514018692,10
t7821c1,0.0,0.0,10
t8999c1,0.0011707643418631879,0.019662921348314606,10
t9136c4,0.008974879357777478,0.7262773722627737,10
t13388c1,0.0001382208215845635,0.03164556962025317,10
t15192c0,0.0,0.0,10
t1793c0,0.0023501762632197414,0.000994530084535057,50
t3967c0,0.0,0.0,50
t7378c9,0.0870712401055409,0.015972894482090997,50
t7821c1,0.0,0.0,50
t8999c1,0.0018397725372135808,0.008148148148148147,50
t9136c4,0.03265232489965273,0.7247247247247247,50
t13388c1,0.0004975949577044286,0.028985507246376812,50
t15192c0,0.0,0.0,50
t1793c0,0.0023501762632197414,0.0005561735261401557,100
t3967c0,0.0,0.0,100
t7378c9,0.08970976253298153,0.00914962325080732,100
t7821c1,0.0,0.0,100
t8999c1,0.0023415286837263757,0.0058997050147492625,100
t9136c4,0.05831416587741848,0.7309214245336348,100
t13388c1,0.0012439873942610715,0.03501945525291829,100
t15192c0,0.0,0.0,100
t1793c0,0.004700352526439483,0.0003162305320578702,500
t3967c0,0.0020876826722338203,0.00016454134101192923,500
t7378c9,0.09762532981530343,0.0029906239896540575,500
t7821c1,0.010101010101010102,8.997660608241857e-05,500
t8999c1,0.008529854490717512,0.005960729312762973,500
t9136c4,0.22220718892346547,0.7240264511388684,500
t13388c1,0.005639409520650191,0.042464612822647796,500
t15192c0,0.013513513513513514,0.00020149103364900262,500
t1793c0,0.007050528789659225,0.00029745674483168903,1000
t3967c0,0.005219206680584551,0.00026588673225206064,1000
t7378c9,0.10290237467018469,0.001948051948051948,1000
t7821c1,0.010101010101010102,5.477051155657794e-05,1000
t8999c1,0.01154039136979428,0.00478502080443828,1000
t9136c4,0.3207504622739368,0.676946506758043,1000
t13388c1,0.014292032951843866,0.06999729217438397,1000
t15192c0,0.033783783783783786,0.0003249074013906037,1000
t1793c0,0.0199764982373678,0.0003295723314334458,5000
t3967c0,0.012526096033402923,0.00023785455194148778,5000
t7378c9,0.13984168865435356,0.0008969065186488865,5000
t7821c1,0.030303030303030304,6.628076532190358e-05,5000
t8999c1,0.029101856497742096,0.0040257276387025125,5000
t9136c4,0.5190096062779056,0.5072508485035483,5000
t13388c1,0.08304306960800575,0.12607016954843042,5000
t15192c0,0.07432432432432433,0.0002684039723787912,5000
t1793c0,0.04230317273795535,0.0004777323637135729,10000
t3967c0,0.017745302713987474,0.0002533154522425868,10000
t7378c9,0.1741424802110818,0.0007242321493235014,10000
t7821c1,0.04040404040404041,5.880450442503896e-05,10000
t8999c1,0.040809499916373976,0.0037644445130135614,10000
t9136c4,0.6316240472646913,0.41366375236294894,10000
t13388c1,0.11837231160502018,0.11319956644724667,10000
t15192c0,0.08783783783783784,0.0002183186108218856,10000
t1793c0,0.10693301997649823,0.0005834866856032675,50000
t3967c0,0.06993736951983298,0.0005326125839659764,50000
t7378c9,0.34564643799472294,0.0006494890851128178,50000
t7821c1,0.16161616161616163,0.00012744332754528222,50000
t8999c1,0.11289513296537883,0.0045111575964552324,50000
t9136c4,0.8086862400216479,0.17053917046308362,50000
t13388c1,0.3053021507159839,0.09605817068503636,50000
t15192c0,0.2702702702702703,0.00027925745442867415,50000
t1793c0,0.7132784958871915,0.003010091492896283,100000
t3967c0,0.10855949895615867,0.000655134617565167,100000
t7378c9,0.46701846965699206,0.0006973638072123965,100000
t7821c1,0.21212121212121213,0.00012910127072536472,100000
t8999c1,0.27161732731225957,0.00820977387734881,100000
t9136c4,0.8384521715600054,0.11228619056822574,100000
t13388c1,0.47395919721346824,0.10211252925796442,100000
t15192c0,0.4864864864864865,0.0003705972277268493,100000
t1793c0,0.9741480611045829,0.002650052425645091,500000
t3967c0,0.8079331941544885,0.003083247687564234,500000
