tau,join_threashold,querytime
0.00,0.01,0.052
0.00,0.01,0.042
0.00,0.01,0.096
0.00,0.01,0.056
0.00,0.01,0.038
0.00,0.01,0.060
0.00,0.01,0.098
0.00,0.01,0.048
0.00,0.01,0.104
0.00,0.01,0.027
0.02,0.01,0.221
0.02,0.01,0.278
0.02,0.01,0.123
0.02,0.01,0.138
0.02,0.01,0.114
0.02,0.01,0.410
0.02,0.01,0.204
0.02,0.01,0.354
0.02,0.01,0.372
0.02,0.01,0.110
0.06,0.01,0.30
0.06,0.01,0.59
0.06,0.01,0.32
0.06,0.01,0.42
0.06,0.01,0.35
0.06,0.01,0.66
0.06,0.01,0.37
0.06,0.01,1.28
0.06,0.01,0.47
0.06,0.01,0.32
0.08,0.01,0.313
0.08,0.01,0.602
0.08,0.01,0.529
0.08,0.01,0.525
0.08,0.01,0.399
0.08,0.01,1.139
0.08,0.01,0.514
0.08,0.01,1.095
0.08,0.01,0.527
0.08,0.01,0.390
