tqq,tss,nooverlap
t1793c0,t813c0,0
t1793c0,t4633c0,0
t1793c0,t9576c0,0
t1793c0,t12420c0,0
t1793c0,t12925c0,0
t1793c0,t14520c0,0
t1793c0,t15938c0,0
t1793c0,t17327c0,0
t1793c0,t19596c0,0
t1793c0,t22316c0,0
t1793c0,t23022c0,0
t1793c0,t24108c0,0
t1793c0,t24799c0,0
t1793c0,t25561c0,0
t1793c0,t26269c0,0
t1793c0,t26821c0,0
t1793c0,t27278c0,0
t1793c0,t30821c0,0
t1793c0,t31526c0,0
t1793c0,t35608c0,0
t1793c0,t35870c0,0
t1793c0,t36132c0,0
t1793c0,t39354c0,0
t1793c0,t39950c0,0
t1793c0,t40653c0,0
t1793c0,t42078c0,0
t1793c0,t45932c0,0
t1793c0,t48237c0,0
t1793c0,t48548c0,0
t1793c0,t55265c0,0
t1793c0,t55985c0,0
t1793c0,t59712c0,0
t1793c0,t62627c0,0
t1793c0,t63442c0,0
t1793c0,t67318c0,0
t1793c0,t67528c0,0
t1793c0,t70786c0,0
t1793c0,t72582c0,0
t1793c0,t73228c0,0
t1793c0,t73738c0,0
t1793c0,t77653c0,0
t1793c0,t77952c0,0
t1793c0,t81169c0,0
t1793c0,t81753c0,0
t1793c0,t82437c0,0
t1793c0,t82992c0,0
t1793c0,t83238c0,0
t1793c0,t83844c0,0
t1793c0,t86970c0,0
t1793c0,t90300c0,0
t1793c0,t94611c0,0
t1793c0,t97643c0,0
t1793c0,t98359c0,0
t1793c0,t98604c0,0
t1793c0,t99928c0,0
t1793c0,t101135c0,0
t1793c0,t101405c0,0
t7378c9,t6c4,0
t7378c9,t22c0,0
t7378c9,t31c0,0
t7378c9,t46c1,0
t7378c9,t50c1,0
t7378c9,t60c0,0
t7378c9,t61c0,0
t7378c9,t67c1,0
t7378c9,t78c6,0
t7378c9,t92c1,0
t7378c9,t119c0,0
t7378c9,t132c1,0
t7378c9,t153c1,0
t7378c9,t154c0,0
t7378c9,t160c0,0
t7378c9,t170c0,0
t7378c9,t177c1,0
t7378c9,t189c0,0
t7378c9,t203c1,0
t7378c9,t210c2,0
t7378c9,t269c1,0
t7378c9,t275c2,0
t7378c9,t278c3,0
t7378c9,t305c2,0
t7378c9,t306c0,0
t7378c9,t308c2,0
t7378c9,t328c0,0
t7378c9,t337c2,0
t7378c9,t361c0,0
t7378c9,t405c1,0
t7378c9,t419c1,0
t7378c9,t457c1,0
t7378c9,t475c4,0
t7378c9,t481c4,0
t7378c9,t487c2,0
t7378c9,t501c0,0
t7378c9,t515c3,0
t7378c9,t518c1,0
t7378c9,t524c2,0
t7378c9,t531c1,0
t7378c9,t544c0,0
t7378c9,t545c6,0
t7378c9,t550c3,0
t7378c9,t553c6,0
t7378c9,t555c0,0
t7378c9,t564c1,0
t7378c9,t564c4,0
t7378c9,t591c2,0
t7378c9,t616c8,0
t7378c9,t620c4,0
t7378c9,t627c0,0
t7378c9,t635c1,0
t7378c9,t647c1,0
t7378c9,t652c0,0
t7378c9,t659c1,0
t7378c9,t660c2,0
t7378c9,t704c1,0
t7378c9,t716c1,0
t7378c9,t731c6,0
t7378c9,t739c3,0
t7378c9,t746c2,0
t7378c9,t772c0,0
t7378c9,t786c4,0
t7378c9,t797c0,0
t7378c9,t804c1,0
t7378c9,t834c0,0
t7378c9,t835c2,0
t7378c9,t842c6,0
t7378c9,t870c1,0
t7378c9,t898c0,0
t7378c9,t898c2,0
t7378c9,t904c1,0
t7378c9,t925c0,0
t7378c9,t942c6,0
t7378c9,t946c8,0
t7378c9,t960c4,0
t7378c9,t1013c1,0
t7378c9,t1057c4,0
t7378c9,t1106c1,0
t7378c9,t1106c2,0
t7378c9,t1121c4,0
t7378c9,t1124c0,0
t7378c9,t1125c3,0
t7378c9,t1168c0,0
t7378c9,t1175c4,0
t7378c9,t1185c1,0
t7378c9,t1221c9,0
t7378c9,t1223c0,0
t7378c9,t1299c1,0
t7378c9,t1315c3,0
t7378c9,t1317c0,0
t7378c9,t1348c0,0
t7378c9,t1355c1,0
t7378c9,t1375c1,0
t7378c9,t1377c6,0
t7378c9,t1385c1,0
t7378c9,t1390c1,0
t7378c9,t1405c1,0
t7378c9,t1411c1,0
t7378c9,t1420c0,0
t7378c9,t1435c1,0
t7378c9,t1443c3,0
t7378c9,t1464c2,0
t7378c9,t1469c5,0
t7378c9,t1483c1,0
t7378c9,t1487c1,0
t7378c9,t1492c2,0
t7378c9,t1502c1,0
t7378c9,t1514c1,0
t7378c9,t1531c2,0
t7378c9,t1540c2,0
t7378c9,t1547c3,0
t7378c9,t1549c0,0
t7378c9,t1581c3,0
t7378c9,t1582c6,0
t7378c9,t1666c0,0
t7378c9,t1685c2,0
t7378c9,t1689c2,0
t7378c9,t1692c0,0
t7378c9,t1613c0,0
t7378c9,t1629c6,0
t7378c9,t1644c1,0
t7378c9,t1646c0,0
t7378c9,t1650c2,0
t7378c9,t1657c4,0
t7378c9,t1707c3,0
t7378c9,t1723c0,0
t7378c9,t1732c6,0
t7378c9,t1735c1,0
t7378c9,t1743c0,0
t7378c9,t1749c0,0
t7378c9,t1753c1,0
t7378c9,t1761c0,0
t7378c9,t1789c2,0
t7378c9,t1795c1,0
t7378c9,t1805c2,0
t7378c9,t1811c0,0
t7378c9,t1812c1,0
t7378c9,t1814c1,0
t7378c9,t1837c1,0
t7378c9,t1851c2,0
t7378c9,t1858c3,0
t7378c9,t1859c6,0
t7378c9,t1861c1,0
t7378c9,t1861c2,0
t7378c9,t1886c15,0
t7378c9,t1898c1,0
t7378c9,t1931c6,0
t7378c9,t1973c0,0
t7378c9,t1998c0,0
t7378c9,t2006c0,0
t7378c9,t2008c2,0
t7378c9,t2014c1,0
t7378c9,t2020c1,0
t7378c9,t2030c0,0
t7378c9,t2040c3,0
t7378c9,t2064c3,0
t7378c9,t2078c0,0
t7378c9,t2098c6,0
t7378c9,t2111c2,0
t7378c9,t2127c1,0
t7378c9,t2128c5,0
t7378c9,t2131c1,0
t7378c9,t2179c2,0
