tqq,tss,nooverlap
t8999c1,t3024c1,93
t8999c1,t8664c1,44
t8999c1,t10375c1,36
t8999c1,t12179c1,49
t8999c1,t18272c1,44
t8999c1,t23307c1,34
t8999c1,t25622c1,34
t8999c1,t31622c1,47
t8999c1,t43848c1,76
t8999c1,t44883c1,36
t8999c1,t47167c1,73
t8999c1,t52267c1,51
t8999c1,t59668c1,35
t8999c1,t66299c1,66
t8999c1,t73002c1,91
t8999c1,t78753c1,47
t8999c1,t91285c1,47
t9136c4,t31c1,71
t9136c4,t34c3,62
t9136c4,t163c0,36
t9136c4,t191c3,62
t9136c4,t195c5,33
t9136c4,t207c3,62
t9136c4,t218c5,57
t9136c4,t275c4,56
t9136c4,t290c3,62
t9136c4,t305c3,26
t9136c4,t319c5,33
t9136c4,t354c4,49
t9136c4,t359c3,62
t9136c4,t374c4,41
t9136c4,t382c6,59
t9136c4,t418c0,20
t9136c4,t418c3,16
t9136c4,t430c4,36
t9136c4,t469c2,79
t9136c4,t471c5,55
t9136c4,t471c6,60
t9136c4,t485c3,62
t9136c4,t519c4,56
t9136c4,t560c5,33
t9136c4,t570c0,24
t9136c4,t611c5,33
t9136c4,t614c5,37
t9136c4,t619c5,55
t9136c4,t619c6,60
t9136c4,t625c3,48
t9136c4,t625c20,59
t9136c4,t632c0,58
t9136c4,t632c8,89
t9136c4,t692c5,33
t9136c4,t719c5,55
t9136c4,t719c6,60
t9136c4,t724c3,65
t9136c4,t747c3,65
t9136c4,t758c7,62
t9136c4,t796c5,33
t9136c4,t802c1,34
t9136c4,t835c3,33
t9136c4,t842c7,32
t9136c4,t942c7,32
t9136c4,t1000c2,43
t9136c4,t1006c5,50
t9136c4,t1006c6,75
t9136c4,t1010c5,37
t9136c4,t1024c1,27
t9136c4,t1056c5,37
t9136c4,t1068c5,37
t9136c4,t1108c5,33
t9136c4,t1122c2,40
t9136c4,t1147c5,33
t9136c4,t1180c5,33
t9136c4,t1189c3,61
t9136c4,t1189c4,61
t9136c4,t1224c5,37
t9136c4,t1232c4,53
t9136c4,t1237c3,62
t9136c4,t1244c6,66
t9136c4,t1244c8,38
t9136c4,t1244c9,45
t9136c4,t1262c2,52
t9136c4,t1266c3,62
t9136c4,t1320c4,58
t9136c4,t1340c3,62
t9136c4,t1341c3,43
t9136c4,t1353c1,67
t9136c4,t1363c3,55
t9136c4,t1363c4,25
t9136c4,t1369c7,60
t9136c4,t1386c10,67
t9136c4,t1403c5,39
t9136c4,t1464c3,29
t9136c4,t1480c1,24
t9136c4,t1518c0,3
t9136c4,t1548c3,62
t9136c4,t1557c5,33
t9136c4,t1671c3,82
t9136c4,t1674c3,59
t9136c4,t1675c5,62
t9136c4,t1677c3,62
t9136c4,t1683c5,60
t9136c4,t1685c3,30
t9136c4,t1701c0,3
t9136c4,t1590c1,35
t9136c4,t1590c2,46
t9136c4,t1611c2,37
t9136c4,t1736c5,33
t9136c4,t1815c4,73
t9136c4,t1868c4,62
t9136c4,t1917c0,68
t9136c4,t1929c5,33
t9136c4,t1961c6,56
t9136c4,t1970c5,27
t9136c4,t1992c5,37
t9136c4,t2008c3,41
t9136c4,t2016c5,37
t9136c4,t2065c1,35
t9136c4,t2065c2,55
t9136c4,t2065c4,61
t9136c4,t2068c5,55
t9136c4,t2068c6,60
t9136c4,t2117c3,65
t9136c4,t2153c4,73
t9136c4,t2170c4,50
t9136c4,t2215c5,54
t9136c4,t2215c6,50
t9136c4,t2238c3,55
t9136c4,t2263c5,33
t9136c4,t2267c5,37
t9136c4,t2275c2,67
t9136c4,t2275c4,56
t9136c4,t2305c0,38
t9136c4,t2313c3,11
t9136c4,t2319c2,48
t9136c4,t2319c18,66
t9136c4,t2339c3,27
t9136c4,t2377c2,59
t9136c4,t2377c4,77
t9136c4,t2377c10,58
t9136c4,t2377c20,60
t9136c4,t2451c5,62
t9136c4,t2478c3,30
t9136c4,t2494c3,36
t9136c4,t2514c0,29
t9136c4,t2521c5,37
t9136c4,t2549c3,68
t9136c4,t2549c5,71
t9136c4,t2581c1,47
