k,time(sec)
1,1.143086
3,6.861975
5,7.597182
10,7.633850
30,7.633856
50,7.633858
100,7.633877
300,7.633949
500,7.634018
1000,7.634187
1,4.999855
3,4.999856
5,4.999857
10,4.999857
30,4.999864
50,4.999868
100,4.999879
300,4.999912
500,4.999962
1000,5.000157
1,4.151333
3,5.065081
5,5.138660
10,5.297561
30,5.648194
50,5.648203
100,5.925307
300,5.925358
500,5.925409
1000,5.925543
1,3.829246
3,3.979798
5,4.175899
10,4.652648
30,4.753450
50,5.498606
100,8.411691
300,9.172697
500,9.172762
1000,9.172922
1,2.751457
3,2.751459
5,2.751461
10,2.751466
30,3.732075
50,3.732097
100,3.732155
300,8.169004
500,9.067290
1000,11.748394
1,5.565168
3,5.929277
5,6.014125
10,6.123435
30,6.217026
50,6.217034
100,6.384718
300,6.384828
500,6.384909
1000,6.385148
1,4.613587
3,4.613587
5,4.613587
10,4.613589
30,4.613597
50,4.613603
100,4.613613
300,4.619497
500,4.619564
1000,4.619737
1,3.991205
3,4.442162
5,4.620004
10,4.620009
30,4.625884
50,4.625889
100,4.625902
300,4.625954
500,4.626007
1000,4.910126
1,4.381795
3,4.460737
5,4.460738
10,4.460739
30,4.460746
50,4.460755
100,4.460771
300,4.460863
500,4.460938
1000,4.461131
1,4.695638
3,4.695640
5,4.695640
10,4.695640
30,4.721785
50,4.721790
100,4.721797
300,4.721826
500,4.721871
1000,4.855117
