tqq,tss,overlap
t1793c0,t813c0,1
t1793c0,t4633c0,1
t1793c0,t9576c0,2
t1793c0,t12420c0,6
t1793c0,t12925c0,1
t1793c0,t14520c0,1
t1793c0,t15938c0,1
t1793c0,t17327c0,18
t1793c0,t19596c0,1
t1793c0,t22316c0,5
t1793c0,t23022c0,1
t1793c0,t24108c0,1
t1793c0,t24799c0,1
t1793c0,t25561c0,1
t1793c0,t26269c0,1
t1793c0,t26821c0,3
t1793c0,t27278c0,1
t1793c0,t30821c0,1
t1793c0,t31526c0,2
t1793c0,t35608c0,1
t1793c0,t35870c0,1
t1793c0,t36132c0,1
t1793c0,t39354c0,1
t1793c0,t39950c0,1
t1793c0,t40653c0,1
t1793c0,t42078c0,1
t1793c0,t45932c0,1
t1793c0,t48237c0,15
t1793c0,t48548c0,15
t1793c0,t55265c0,7
t1793c0,t55985c0,1
t1793c0,t59712c0,1
t1793c0,t62627c0,1
t1793c0,t63442c0,1
t1793c0,t67318c0,1
t1793c0,t67528c0,57
t1793c0,t70786c0,1
t1793c0,t72582c0,1
t1793c0,t73228c0,1
t1793c0,t73738c0,1
t1793c0,t77653c0,1
t1793c0,t77952c0,1
t1793c0,t81169c0,1
t1793c0,t81753c0,1
t1793c0,t82437c0,1
t1793c0,t82992c0,1
t1793c0,t83238c0,1
t1793c0,t83844c0,1
t1793c0,t86970c0,1
t1793c0,t90300c0,8
t1793c0,t94611c0,1
t1793c0,t97643c0,38
t1793c0,t98359c0,1
t1793c0,t98604c0,1
t1793c0,t99928c0,1
t1793c0,t13552c0,1
t1793c0,t16154c2,1
t1793c0,t43083c1,1
t1793c0,t47356c0,2
t1793c0,t1798c1,1
t1793c0,t91655c2,1
t1793c0,t21190c1,1
t1793c0,t44660c1,1
t1793c0,t28216c1,1
t1793c0,t17012c4,1
t3967c0,t77528c2,1
t3967c0,t37469c0,1
t3967c0,t26833c0,1
t3967c0,t75898c1,1
t3967c0,t27430c6,1
t3967c0,t24468c2,1
t3967c0,t46041c2,1
t3967c0,t41761c0,1
t3967c0,t57988c5,1
t3967c0,t85134c3,1
t3967c0,t36406c1,1
t3967c0,t99047c0,1
t3967c0,t36066c2,1
t3967c0,t70487c0,1
t3967c0,t9469c1,1
t3967c0,t50232c1,1
t3967c0,t77184c0,1
t3967c0,t69013c0,1
t3967c0,t76962c2,1
t3967c0,t98435c0,1
t3967c0,t13784c1,1
t3967c0,t19955c0,1
t3967c0,t68001c0,1
t3967c0,t34202c2,1
t3967c0,t64081c0,1
t3967c0,t26421c3,1
t3967c0,t34899c3,1
t3967c0,t32318c0,1
t3967c0,t22890c0,1
t3967c0,t51475c0,1
t3967c0,t80783c3,1
t3967c0,t59522c0,1
t3967c0,t65301c1,1
t3967c0,t87083c0,1
t3967c0,t63534c0,1
t3967c0,t4105c1,1
t3967c0,t99052c2,1
t3967c0,t39688c2,1
t3967c0,t6296c2,1
t3967c0,t97170c2,1
t3967c0,t55022c4,1
t3967c0,t8996c1,1
t3967c0,t82806c2,1
t3967c0,t39146c1,1
t3967c0,t73331c2,1
t3967c0,t32006c0,1
t3967c0,t31144c2,1
t3967c0,t3197c3,1
t3967c0,t41650c2,1
t3967c0,t17425c0,1
t3967c0,t76044c4,1
t3967c0,t20244c6,1
t3967c0,t14982c1,1
t3967c0,t41031c2,1
t3967c0,t9136c0,1
t3967c0,t34822c0,1
t3967c0,t90636c0,1
t3967c0,t17374c0,1
t3967c0,t39390c0,1
t3967c0,t81536c1,1
t3967c0,t83093c7,1
t3967c0,t26856c4,1
t3967c0,t627c0,1
t3967c0,t20432c2,1
t3967c0,t1613c2,1
t3967c0,t4083c2,1
t3967c0,t8691c2,1
t3967c0,t19557c2,1
t3967c0,t19650c2,1
t3967c0,t21818c2,1
t3967c0,t27094c2,1
t3967c0,t27110c2,1
t3967c0,t27154c2,1
t3967c0,t28577c2,1
t3967c0,t30228c2,1
t3967c0,t33468c2,1
t3967c0,t37214c2,1
t3967c0,t42319c2,1
t3967c0,t47978c2,1
t3967c0,t48125c2,1
t3967c0,t48533c2,1
t3967c0,t50133c2,1
t3967c0,t51553c2,1
t3967c0,t55177c2,1
t3967c0,t55031c2,1
t3967c0,t56764c2,1
t3967c0,t57548c2,1
t3967c0,t59180c2,1
t3967c0,t59645c2,1
t3967c0,t63049c2,1
t3967c0,t69634c2,1
t3967c0,t74688c2,1
t3967c0,t74779c2,1
t3967c0,t78193c2,1
t3967c0,t82933c2,1
t3967c0,t90585c2,1
t3967c0,t92710c2,1
t3967c0,t94078c2,1
t3967c0,t94893c2,1
t3967c0,t100027c2,1
t3967c0,t58975c3,1
t3967c0,t9269c5,1
t3967c0,t54525c5,1
t3967c0,t36148c1,1
t3967c0,t62662c2,1
t3967c0,t88336c1,1
t3967c0,t40116c0,1
t3967c0,t40961c2,1
t3967c0,t33255c4,1
t3967c0,t83716c9,1
t3967c0,t78841c1,1
t3967c0,t70025c1,1
t3967c0,t99000c0,1
t3967c0,t60278c0,1
t3967c0,t17677c1,1
t3967c0,t24140c7,1
t3967c0,t7054c0,1
t3967c0,t30154c4,1
t3967c0,t70498c0,1
t3967c0,t40567c1,1
t3967c0,t46503c1,1
t3967c0,t56343c1,1
t3967c0,t59336c1,1
t3967c0,t93617c1,1
t3967c0,t10795c3,1
t3967c0,t63302c2,1
t3967c0,t62121c1,1
t3967c0,t11550c3,1
t3967c0,t12053c1,1
t3967c0,t42483c8,1
t3967c0,t45515c0,1
t3967c0,t48224c2,1
t3967c0,t83638c2,1
t3967c0,t23545c3,1
t3967c0,t7331c3,1
t3967c0,t29847c0,1
t3967c0,t66954c0,1
t3967c0,t36633c0,1
t3967c0,t28285c0,1
t3967c0,t65613c4,1
t3967c0,t84068c3,1
t3967c0,t15993c0,1
t3967c0,t69597c0,1
t3967c0,t22842c1,1
t7378c9,t71745c9,23
t7378c9,t72339c9,18
t7378c9,t86142c9,18
t7378c9,t99432c9,21
t7378c9,t5069c9,5
t7378c9,t5279c1,1
t7378c9,t56515c0,1
t7378c9,t46423c7,1
t7378c9,t34181c2,1
t7378c9,t69270c0,1
t7378c9,t41658c9,8
t7378c9,t1944c1,1
t7378c9,t42254c0,1
t7378c9,t98409c9,14
t7378c9,t29776c9,10
t7378c9,t42671c9,10
t7378c9,t83230c9,16
t7378c9,t92133c9,10
t7378c9,t97141c9,13
t7378c9,t1284c9,8
t7378c9,t24907c9,8
t7378c9,t41609c9,14
t7378c9,t56006c9,9
t7378c9,t94887c9,14
t7378c9,t98087c9,8
t7378c9,t6180c9,10
t7378c9,t59206c9,10
t7378c9,t59531c9,11
t7378c9,t76458c9,8
t7378c9,t52471c9,10
t7378c9,t61005c9,7
t7378c9,t69523c9,7
t7378c9,t94443c9,7
t7378c9,t97320c9,12
t7378c9,t35225c9,10
t7378c9,t72304c9,9
t7378c9,t88679c4,1
t7378c9,t1221c9,11
t7378c9,t17254c9,7
t7378c9,t55431c9,7
t7378c9,t55194c9,11
t7378c9,t40199c0,1
t7378c9,t26938c0,1
t7378c9,t93023c0,1
