tqq,tss,nooverlap
t1793c0,t1c1,96
t1793c0,t2c2,98
t1793c0,t2c4,99
t1793c0,t3c0,98
t1793c0,t3c1,86
t1793c0,t6c1,98
t1793c0,t6c3,98
t1793c0,t6c4,91
t1793c0,t8c1,97
t1793c0,t14c7,99
t1793c0,t19c5,99
t1793c0,t20c1,97
t1793c0,t20c2,96
t1793c0,t21c1,97
t1793c0,t22c0,96
t1793c0,t27c3,97
t1793c0,t31c0,80
t1793c0,t32c1,96
t1793c0,t36c1,99
t1793c0,t39c0,99
t1793c0,t39c1,99
t1793c0,t42c0,99
t1793c0,t44c0,99
t1793c0,t45c2,98
t1793c0,t46c1,83
t1793c0,t50c1,90
t1793c0,t51c1,99
t1793c0,t52c1,96
t1793c0,t52c2,94
t1793c0,t53c0,98
t1793c0,t53c1,99
t1793c0,t54c0,98
t1793c0,t54c1,81
t1793c0,t55c5,92
t1793c0,t59c2,96
t1793c0,t60c0,97
t1793c0,t60c1,96
t1793c0,t61c0,89
t1793c0,t62c2,99
t1793c0,t62c3,98
t1793c0,t63c3,93
t1793c0,t67c1,92
t1793c0,t69c4,99
t1793c0,t71c0,98
t1793c0,t71c1,86
t1793c0,t72c0,99
t1793c0,t72c1,98
t1793c0,t77c3,96
t1793c0,t78c1,99
t1793c0,t78c6,78
t1793c0,t80c0,99
t1793c0,t82c0,99
t1793c0,t84c0,99
t1793c0,t84c2,99
t1793c0,t87c0,99
t1793c0,t90c1,98
t1793c0,t92c0,98
t1793c0,t92c1,83
t1793c0,t93c0,99
t1793c0,t98c1,94
t1793c0,t102c0,99
t1793c0,t102c1,99
t1793c0,t106c0,99
t1793c0,t106c2,98
t1793c0,t107c1,97
t1793c0,t110c1,99
t1793c0,t117c0,99
t1793c0,t118c7,99
t1793c0,t119c0,89
t1793c0,t119c2,93
t1793c0,t121c2,94
t1793c0,t122c1,96
t1793c0,t123c3,97
t1793c0,t123c4,97
t1793c0,t124c1,94
t1793c0,t128c1,94
t1793c0,t129c1,97
t1793c0,t132c0,98
t1793c0,t132c1,84
t1793c0,t135c1,98
t1793c0,t136c2,87
t1793c0,t138c4,99
t1793c0,t141c1,90
t1793c0,t143c0,98
t1793c0,t143c1,83
t1793c0,t144c0,98
t1793c0,t144c1,86
t1793c0,t150c0,93
t1793c0,t150c1,99
t1793c0,t150c2,92
t1793c0,t153c1,85
t1793c0,t154c0,85
t1793c0,t157c3,88
t1793c0,t160c0,99
t1793c0,t160c2,97
t1793c0,t163c4,99
t1793c0,t164c1,95
t1793c0,t165c1,99
t1793c0,t165c2,88
t1793c0,t167c1,84
t1793c0,t170c0,93
t1793c0,t170c2,97
t1793c0,t174c0,98
t1793c0,t174c5,98
t1793c0,t177c0,99
t1793c0,t177c1,87
t1793c0,t180c3,94
t1793c0,t180c4,86
t1793c0,t181c1,95
t1793c0,t186c1,99
t1793c0,t187c0,98
t1793c0,t187c1,86
t1793c0,t189c0,92
t1793c0,t190c3,99
t1793c0,t194c1,97
t1793c0,t194c3,98
t1793c0,t200c3,97
t1793c0,t200c4,97
t1793c0,t203c1,87
t1793c0,t210c2,91
t1793c0,t210c3,99
t1793c0,t216c0,97
t1793c0,t219c3,99
t1793c0,t219c4,97
t1793c0,t223c1,99
t1793c0,t226c1,94
t1793c0,t227c2,99
t1793c0,t235c0,94
t1793c0,t235c2,99
t1793c0,t243c2,98
t1793c0,t246c1,99
t1793c0,t254c1,99
t1793c0,t256c0,99
t1793c0,t259c0,99
t1793c0,t261c1,91
t1793c0,t261c2,99
t1793c0,t263c7,92
t1793c0,t264c2,96
t1793c0,t265c0,99
t1793c0,t265c1,99
t1793c0,t267c1,98
t1793c0,t268c1,90
t1793c0,t268c2,95
t1793c0,t269c1,92
t1793c0,t269c2,97
t1793c0,t269c3,94
t1793c0,t269c4,99
t1793c0,t271c1,86
t1793c0,t275c2,91
t1793c0,t278c3,87
t1793c0,t282c3,98
t1793c0,t283c1,95
t1793c0,t286c0,99
t1793c0,t289c0,99
t1793c0,t291c1,97
t1793c0,t294c0,94
t1793c0,t294c2,99
t1793c0,t299c1,97
t1793c0,t300c1,98
t1793c0,t302c0,99
t1793c0,t303c0,97
t1793c0,t304c1,97
t1793c0,t305c2,92
t1793c0,t306c0,80
t1793c0,t308c0,96
t1793c0,t308c2,95
t1793c0,t309c0,98
t1793c0,t309c1,93
t1793c0,t313c1,99
t1793c0,t320c0,99
t1793c0,t321c0,93
t1793c0,t323c1,97
t1793c0,t328c0,93
t1793c0,t328c5,93
t1793c0,t333c1,90
t1793c0,t334c0,98
t1793c0,t334c1,93
t1793c0,t337c1,99
t1793c0,t337c3,98
t1793c0,t338c0,99
t1793c0,t340c1,88
t1793c0,t344c1,95
t1793c0,t346c0,99
t1793c0,t348c1,98
t1793c0,t350c0,98
t1793c0,t350c1,89
t1793c0,t353c1,99
t1793c0,t355c1,89
t1793c0,t360c1,99
t1793c0,t361c0,95
t1793c0,t361c4,91
t1793c0,t362c3,94
t1793c0,t363c2,97
t1793c0,t364c5,99
t1793c0,t365c3,97
t1793c0,t365c4,97
t1793c0,t367c3,96
t1793c0,t368c1,88
t1793c0,t376c1,84
t1793c0,t379c0,97
t1793c0,t381c3,97
t1793c0,t381c4,97
t1793c0,t392c3,99
t1793c0,t399c0,96
t1793c0,t400c0,98
t1793c0,t401c5,99
t1793c0,t403c7,99
t1793c0,t405c0,98
t1793c0,t405c1,86
t1793c0,t406c0,96
t1793c0,t406c1,99
t1793c0,t407c0,97
t1793c0,t410c2,84
t1793c0,t411c1,98
t1793c0,t413c1,99
t1793c0,t418c6,92
t1793c0,t419c0,98
t1793c0,t419c1,83
t1793c0,t421c0,98
t1793c0,t421c8,99
t1793c0,t422c0,88
t1793c0,t422c2,97
t1793c0,t428c1,98
t1793c0,t429c0,99
t1793c0,t430c12,99
t1793c0,t431c3,98
t1793c0,t433c1,85
t1793c0,t434c0,99
t1793c0,t441c1,99
t1793c0,t441c6,79
t1793c0,t442c1,95
t1793c0,t445c0,98
t1793c0,t445c1,88
t1793c0,t448c1,99
t1793c0,t451c3,98
t1793c0,t453c1,97
t1793c0,t458c0,99
t1793c0,t458c1,99
t1793c0,t462c0,93
t1793c0,t462c2,99
t1793c0,t466c1,92
t1793c0,t469c8,99
t1793c0,t472c0,99
t1793c0,t472c1,99
t1793c0,t474c0,98
t1793c0,t474c1,87
t1793c0,t475c0,98
t1793c0,t475c4,93
t1793c0,t476c3,99
t1793c0,t476c6,99
t1793c0,t477c0,99
t1793c0,t478c0,99
t1793c0,t478c1,99
t1793c0,t480c0,99
t1793c0,t480c1,99
t1793c0,t481c4,92
t1793c0,t483c1,89
t1793c0,t487c0,99
t1793c0,t487c1,98
t1793c0,t487c2,98
t1793c0,t487c3,98
t1793c0,t487c4,92
t1793c0,t494c0,91
t1793c0,t494c2,99
t1793c0,t494c3,91
t1793c0,t494c4,99
t1793c0,t494c5,88
t1793c0,t494c7,85
t1793c0,t496c0,93
t1793c0,t499c6,99
t1793c0,t501c0,99
t1793c0,t501c2,98
t1793c0,t505c0,97
t1793c0,t506c1,93
t1793c0,t506c2,89
t1793c0,t507c0,98
t1793c0,t507c3,96
t1793c0,t514c4,99
t1793c0,t515c3,96
t1793c0,t518c0,98
t1793c0,t518c1,89
t1793c0,t523c7,98
t1793c0,t523c8,98
t1793c0,t524c0,87
t1793c0,t524c2,88
t1793c0,t529c1,93
t1793c0,t531c1,93
t1793c0,t532c2,90
t1793c0,t535c1,98
t1793c0,t536c0,99
t1793c0,t536c2,99
t1793c0,t539c3,99
t1793c0,t544c0,83
t1793c0,t545c1,99
t1793c0,t545c6,78
t1793c0,t550c3,92
t1793c0,t553c1,99
t1793c0,t553c6,78
t1793c0,t555c0,97
t1793c0,t555c1,99
t1793c0,t555c3,95
t1793c0,t556c0,99
t1793c0,t563c0,99
t1793c0,t563c1,99
t1793c0,t564c1,75
t1793c0,t564c2,86
t1793c0,t564c4,82
t1793c0,t564c5,97
t1793c0,t567c3,99
t1793c0,t567c4,99
t1793c0,t567c5,88
t1793c0,t568c3,99
t1793c0,t570c0,98
t1793c0,t570c3,97
t1793c0,t572c0,99
t1793c0,t572c1,99
t1793c0,t577c2,94
t1793c0,t578c7,99
t1793c0,t579c2,99
t1793c0,t580c0,93
t1793c0,t583c0,95
t1793c0,t585c1,98
t1793c0,t590c0,95
t1793c0,t591c2,93
t1793c0,t592c3,96
t1793c0,t594c2,95
t1793c0,t600c0,99
t1793c0,t602c1,98
t1793c0,t605c0,99
t1793c0,t607c1,93
t1793c0,t608c1,99
t1793c0,t608c6,79
t1793c0,t612c0,99
t1793c0,t612c1,99
t1793c0,t613c1,86
t1793c0,t616c8,94
t1793c0,t620c4,98
t1793c0,t621c1,97
t1793c0,t624c2,95
t1793c0,t624c4,97
t1793c0,t626c0,97
t1793c0,t627c0,79
t1793c0,t628c0,99
t1793c0,t628c1,99
t1793c0,t634c2,96
t1793c0,t635c0,98
t1793c0,t635c1,85
t1793c0,t637c1,99
t1793c0,t638c1,99
t1793c0,t643c3,99
t1793c0,t643c4,94
t1793c0,t645c1,99
t1793c0,t646c0,98
t1793c0,t647c1,93
t1793c0,t649c7,99
t1793c0,t651c1,89
t1793c0,t652c0,93
t1793c0,t656c0,98
t1793c0,t656c1,99
t1793c0,t658c0,98
t1793c0,t658c1,85
t1793c0,t659c1,88
t1793c0,t660c1,93
t1793c0,t660c2,89
t1793c0,t668c0,98
t1793c0,t668c1,92
t1793c0,t669c0,93
t1793c0,t670c0,93
t1793c0,t670c1,99
t1793c0,t670c2,92
t1793c0,t673c4,91
t1793c0,t688c0,98
t1793c0,t689c0,99
t1793c0,t689c1,87
t1793c0,t690c0,98
t1793c0,t690c1,89
t1793c0,t693c1,99
t1793c0,t694c1,99
t1793c0,t694c2,98
t1793c0,t700c0,99
t1793c0,t701c3,94
t1793c0,t704c0,99
t1793c0,t704c1,88
t1793c0,t705c0,99
t1793c0,t705c5,98
t1793c0,t710c0,99
t1793c0,t711c0,97
t1793c0,t713c1,86
t1793c0,t716c0,98
t1793c0,t716c1,87
t1793c0,t722c1,99
t1793c0,t729c0,85
t1793c0,t731c1,99
t1793c0,t731c6,78
t1793c0,t737c3,97
t1793c0,t737c4,97
t1793c0,t738c0,93
t1793c0,t739c3,97
t1793c0,t740c0,99
t1793c0,t740c1,99
t1793c0,t745c1,94
t1793c0,t748c1,92
t1793c0,t755c1,95
t1793c0,t755c2,90
t1793c0,t755c3,96
t1793c0,t755c4,98
t1793c0,t755c5,93
t1793c0,t758c0,99
t1793c0,t764c1,92
t1793c0,t767c4,94
t1793c0,t770c0,97
t1793c0,t772c0,93
t1793c0,t773c0,95
t1793c0,t774c1,99
t1793c0,t776c1,92
t1793c0,t779c1,92
t1793c0,t780c1,93
t1793c0,t783c3,95
t1793c0,t784c1,99
t1793c0,t785c1,93
t1793c0,t786c5,93
t1793c0,t792c2,99
t1793c0,t794c1,96
t1793c0,t797c0,87
t1793c0,t797c1,87
t1793c0,t799c0,98
t1793c0,t801c1,99
t1793c0,t802c2,99
t1793c0,t804c1,96
t1793c0,t805c0,99
t1793c0,t806c0,99
t1793c0,t811c1,99
t1793c0,t813c0,98
t1793c0,t814c0,99
t1793c0,t814c1,99
t1793c0,t814c3,82
t1793c0,t815c0,97
t1793c0,t816c0,98
t1793c0,t816c1,94
t1793c0,t818c2,99
t1793c0,t819c1,98
t1793c0,t825c2,98
t1793c0,t826c0,97
t1793c0,t826c1,98
t1793c0,t828c0,98
t1793c0,t828c1,86
t1793c0,t829c0,92
t1793c0,t831c0,99
t1793c0,t834c0,89
t1793c0,t834c2,93
t1793c0,t835c2,92
t1793c0,t845c1,95
t1793c0,t850c0,94
t1793c0,t852c3,99
t1793c0,t858c0,98
t1793c0,t858c2,99
t1793c0,t860c0,99
t1793c0,t861c0,96
t1793c0,t863c1,97
t1793c0,t867c1,98
t1793c0,t870c0,98
t1793c0,t870c1,91
t1793c0,t874c3,91
t1793c0,t875c1,89
t1793c0,t876c1,99
t1793c0,t876c5,99
t1793c0,t878c0,98
t1793c0,t878c1,88
t1793c0,t879c1,99
t1793c0,t884c0,99
t1793c0,t885c2,98
t1793c0,t893c1,92
t1793c0,t896c1,87
t1793c0,t898c0,99
t1793c0,t898c2,99
t1793c0,t900c0,99
t1793c0,t900c1,97
t1793c0,t900c2,98
t1793c0,t900c3,98
t1793c0,t900c4,99
t1793c0,t900c5,99
t1793c0,t901c2,99
t1793c0,t904c0,98
t1793c0,t904c1,86
t1793c0,t905c0,97
t1793c0,t905c1,88
t1793c0,t906c0,95
t1793c0,t908c1,89
t1793c0,t911c2,86
t1793c0,t915c0,98
t1793c0,t921c1,98
t1793c0,t922c1,96
t1793c0,t924c0,99
t1793c0,t924c3,96
t1793c0,t925c0,88
t1793c0,t925c2,98
t1793c0,t926c0,95
t1793c0,t929c1,99
t1793c0,t934c1,94
t1793c0,t934c2,96
t1793c0,t940c3,99
t1793c0,t940c4,99
t1793c0,t940c5,99
t1793c0,t940c6,99
t1793c0,t946c1,99
t1793c0,t946c2,99
t1793c0,t946c8,99
t1793c0,t948c0,96
t1793c0,t948c2,95
t1793c0,t952c1,96
t1793c0,t955c2,99
t1793c0,t960c3,98
t1793c0,t960c4,86
t1793c0,t961c2,98
t1793c0,t963c2,98
t1793c0,t969c2,96
t1793c0,t972c0,98
t1793c0,t972c1,82
t1793c0,t976c2,96
t1793c0,t978c1,94
t1793c0,t983c0,91
t1793c0,t985c2,99
t1793c0,t985c4,96
t1793c0,t989c0,99
t1793c0,t989c2,99
t1793c0,t990c0,96
t1793c0,t995c0,98
t1793c0,t995c1,83
t1793c0,t996c0,91
t1793c0,t996c1,93
t1793c0,t996c2,99
t1793c0,t1001c0,95
t1793c0,t1002c1,99
t1793c0,t1004c2,86
t1793c0,t1005c2,97
t1793c0,t1013c2,92
t1793c0,t1021c1,95
t1793c0,t1022c7,99
t1793c0,t1022c8,99
t1793c0,t1024c0,99
t1793c0,t1026c4,98
t1793c0,t1029c1,94
t1793c0,t1033c0,99
t1793c0,t1034c0,93
t1793c0,t1034c1,99
t1793c0,t1034c2,92
t1793c0,t1035c3,97
t1793c0,t1035c4,99
t1793c0,t1035c6,98
t1793c0,t1035c12,99
t1793c0,t1036c0,99
t1793c0,t1040c0,92
t1793c0,t1042c2,94
t1793c0,t1042c3,98
t1793c0,t1042c4,93
t1793c0,t1045c1,89
t1793c0,t1046c0,93
t1793c0,t1046c1,99
t1793c0,t1046c2,92
t1793c0,t1048c0,98
t1793c0,t1048c1,89
t1793c0,t1050c1,99
t1793c0,t1051c0,90
t1793c0,t1051c3,92
t1793c0,t1053c0,95
t1793c0,t1054c2,99
t1793c0,t1057c3,99
t1793c0,t1057c4,92
t1793c0,t1060c2,96
