tau,join_threashold,querytime
0.06,0.01,0.036
tau,join_threashold,querytime
0.06,0.01,0.009
tau,join_threashold,querytime
0.06,0.01,0.009
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.009
tau,join_threashold,querytime
0.06,0.01,0.009
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.433
tau,join_threashold,querytime
0.06,0.01,0.010
tau,join_threashold,querytime
0.06,0.01,0.011
tau,join_threashold,querytime
0.06,0.01,0.011
tau,join_threashold,querytime
0.06,0.01,0.011
tau,join_threashold,querytime
0.06,0.01,0.011
tau,join_threashold,querytime
0.06,0.01,0.011
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.710
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.013
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.013
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.013
tau,join_threashold,querytime
0.06,0.01,0.013
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,1.113
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.013
tau,join_threashold,querytime
0.06,0.01,0.013
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.016
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.016
tau,join_threashold,querytime
0.06,0.01,0.017
tau,join_threashold,querytime
0.06,0.01,0.017
tau,join_threashold,querytime
0.06,0.01,0.017
tau,join_threashold,querytime
0.06,0.01,0.015
tau,join_threashold,querytime
0.06,0.01,0.015
tau,join_threashold,querytime
0.06,0.01,0.015
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.014
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.012
tau,join_threashold,querytime
0.06,0.01,0.011
tau,join_threashold,querytime
0.06,0.01,0.011
tau,join_threashold,querytime
0.06,0.01,0.011
