fft_scale,tau,T,%filled_cells,#vec_outps,#filtered_vectors,#checked_pvectors,#checked_mvectors,#visited_cells,#visited_mcells,#visited_ccells,#filtered_cells
0,0.0,0.6,0.44%,0,833,142,0,1,0,1,10
0,0.0001,0.6,0.44%,0,833,142,0,1,0,1,10
0,0.001,0.6,0.44%,0,829,138,4,1,0,1,14
0,0.01,0.6,0.44%,0,813,122,20,1,0,1,14
0,0.02,0.6,0.44%,0,785,94,48,1,0,1,17
0,0.06,0.6,0.44%,0,491,207,342,6,0,6,12
0,0.08,0.6,0.44%,0,326,48,507,8,0,8,10
0,0.1,0.6,0.44%,0,69,57,764,9,0,9,9
0,0.2,0.6,0.44%,0,3,0,830,15,0,15,3
0,0.3,0.6,0.44%,0,2,0,831,16,0,16,2
0,0.4,0.6,0.44%,0,2,0,831,16,0,16,2
0,0.5,0.6,0.44%,0,2,0,831,16,0,16,2
0,0.6,0.6,0.44%,0,2,0,831,16,0,16,2
0,0.7,0.6,0.44%,0,1,0,831,17,1,16,1
0,0.8,0.6,0.44%,0,0,0,831,18,2,16,0
0,0.9,0.6,0.44%,0,0,0,831,18,2,16,0
0,1.0,0.6,0.44%,0,0,0,831,18,2,16,0
0,0.0,0.6,2.15%,0,833,3,0,1,0,1,17
0,0.0001,0.6,2.15%,0,833,3,0,1,0,1,17
0,0.001,0.6,2.15%,0,833,3,0,1,0,1,25
0,0.01,0.6,2.15%,0,830,0,3,1,0,1,43
0,0.02,0.6,2.15%,0,830,0,3,1,0,1,56
0,0.06,0.6,2.15%,0,786,0,47,12,0,12,61
0,0.08,0.6,2.15%,0,624,11,209,29,0,29,45
0,0.1,0.6,2.15%,0,396,6,437,42,0,42,32
0,0.2,0.6,2.15%,0,101,0,732,66,0,66,15
0,0.3,0.6,2.15%,0,39,0,794,77,0,77,9
0,0.4,0.6,2.15%,0,14,0,819,82,0,82,6
0,0.5,0.6,2.15%,0,3,0,830,85,0,85,3
0,0.6,0.6,2.15%,0,3,0,830,85,0,85,3
0,0.7,0.6,2.15%,0,2,0,830,86,1,85,2
0,0.8,0.6,2.15%,0,0,0,830,88,3,85,0
0,0.9,0.6,2.15%,0,0,0,830,88,3,85,0
0,1.0,0.6,2.15%,0,0,1,822,88,5,83,0
0,0.0,0.6,3.71%,0,833,11,0,1,0,1,24
0,0.0001,0.6,3.71%,0,832,10,1,1,0,1,29
0,0.001,0.6,3.71%,0,831,9,2,1,0,1,34
0,0.01,0.6,3.71%,0,827,5,6,1,0,1,48
0,0.02,0.6,3.71%,0,822,0,11,1,0,1,62
0,0.06,0.6,3.71%,0,789,2,44,5,0,5,76
0,0.08,0.6,3.71%,0,782,1,51,9,0,9,73
0,0.1,0.6,3.71%,0,747,0,86,16,0,16,103
0,0.2,0.6,3.71%,0,473,0,360,73,0,73,74
0,0.3,0.6,3.71%,0,126,0,707,123,0,123,25
0,0.4,0.6,3.71%,0,75,0,758,141,0,141,8
0,0.5,0.6,3.71%,0,57,0,776,145,0,145,6
0,0.6,0.6,3.71%,0,10,0,823,148,0,148,4
0,0.7,0.6,3.71%,0,3,0,829,150,1,149,2
0,0.8,0.6,3.71%,0,0,0,823,152,4,148,0
0,0.9,0.6,3.71%,0,0,5,771,152,7,145,0
0,1.0,0.6,3.71%,0,0,0,761,152,9,143,0
0,0.0,0.6,4.91%,0,833,25,0,1,0,1,22
0,0.0001,0.6,4.91%,0,833,25,0,1,0,1,22
0,0.001,0.6,4.91%,0,833,25,0,1,0,1,32
0,0.01,0.6,4.91%,0,825,17,8,1,0,1,45
0,0.02,0.6,4.91%,0,816,8,17,1,0,1,60
0,0.06,0.6,4.91%,0,791,2,42,4,0,4,80
0,0.08,0.6,4.91%,0,790,1,43,4,0,4,80
0,0.1,0.6,4.91%,0,757,0,76,12,0,12,98
0,0.2,0.6,4.91%,0,602,0,231,58,0,58,113
0,0.3,0.6,4.91%,0,287,0,546,121,0,121,74
0,0.4,0.6,4.91%,0,109,0,724,175,0,175,24
0,0.5,0.6,4.91%,0,23,0,810,192,0,192,9
0,0.6,0.6,4.91%,0,3,0,830,198,0,198,3
0,0.7,0.6,4.91%,0,3,0,830,198,0,198,3
0,0.8,0.6,4.91%,0,0,0,830,201,3,198,0
0,0.9,0.6,4.91%,0,0,1,812,201,8,193,0
0,1.0,0.6,4.91%,0,0,2,760,201,14,187,0
