fft_scale,tau,T,%filled_cells,#vec_outps,#filtered_vectors,#checked_pvectors,#checked_mvectors,#visited_cells,#visited_mcells,#visited_ccells,#filtered_cells
0,0.0,0.6,4.91%,0,808,25,0,1,0,1,22
0,0.0001,0.6,4.91%,0,808,25,0,1,0,1,22
0,0.001,0.6,4.91%,0,808,25,0,1,0,1,32
0,0.01,0.6,4.91%,0,808,17,8,1,0,1,45
0,0.02,0.6,4.91%,0,808,8,17,1,0,1,60
0,0.06,0.6,4.91%,0,789,2,42,4,0,4,80
0,0.08,0.6,4.91%,0,789,1,43,4,0,4,80
0,0.1,0.6,4.91%,0,757,0,76,12,0,12,98
0,0.2,0.6,4.91%,0,602,0,231,58,0,58,113
0,0.3,0.6,4.91%,0,287,0,546,121,0,121,74
0,0.4,0.6,4.91%,0,109,0,724,175,0,175,24
0,0.5,0.6,4.91%,0,23,0,810,192,0,192,9
0,0.6,0.6,4.91%,0,3,0,830,198,0,198,3
0,0.7,0.6,4.91%,0,3,0,830,198,0,198,3
0,0.8,0.6,4.91%,0,0,0,830,201,3,198,0
0,0.9,0.6,4.91%,0,0,1,812,201,8,193,0
0,1.0,0.6,4.91%,0,0,2,760,201,14,187,0
